Métrique,Total,Long,Short,Remarque
Rendement annualisé (CAGR),"0,97%","0,97%","0,00%",
Retour sur capital initial,"0,59%","0,59%","0,00%",
Taille du compte requise,"367,90 EUR",,,
Rendement requis sur le montant du compte,"1,63%","1,63%","0,00%",
Bénéfice net en % de la perte la plus importante,"24,58%","24,58%","0,00%",
