Métrique,Total,Long,Short,Remarque
Capital initial,"1 000,00 EUR",,,
P&L ouvert,"+0,40 EUR / +0,04%",,,
P&L Net,"+5,90 EUR / +0,59%","+5,90 EUR / +0,59%","0 EUR / 0,00%",
Profit brut,"227,10 EUR / 22,71%","227,10 EUR / 22,71%","0 EUR / 0,00%",
Perte brute,"221,20 EUR / 22,12%","221,20 EUR / 22,12%","0 EUR / 0,00%",
Facteur de profit,"1,027","1,027",—,
Commission payée,0 EUR,0 EUR,0 EUR,
Gain attendu,"0,03 EUR","0,03 EUR",0 EUR,"Libellé TradingView probablement ""Gain attendu"""
