PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,0.0943,+13.33,+1.33%,150.42,14.39%,11,45.45%,1.077,+1.21,+0.12%,37.73,0.094,0.010,0.71%,+25.31,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,0.5360,+106.89,+10.69%,66.71,5.90%,4,50.00%,3.381,+26.72,+2.67%,13.75,0.536,0.026,77.54%,+34.66,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,0.2926,+134.54,+13.45%,436.12,40.59%,173,50.87%,1.080,+0.78,+0.08%,39.94,0.293,0.137,11.77%,+37.43,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.0098,-68.16,-6.82%,369.83,35.34%,136,46.32%,0.937,-0.50,-0.05%,38.62,-0.010,-0.004,8.95%,+17.16,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,1.1215,"+1,177.45",+117.74%,398.25,31.80%,24,54.17%,3.049,+49.06,+4.91%,34.21,1.122,0.214,1.40%,+141.72,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.1438,-16.17,-1.62%,64.76,6.48%,2,0.00%,0.000,-8.08,-0.81%,27.00,-0.144,-0.006,0.09%,+22.36,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,0.6585,+197.63,+19.76%,150.73,13.46%,5,60.00%,4.096,+39.53,+3.95%,40.40,0.658,0.055,0.34%,+43.74,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,-0.0683,-10.42,-1.04%,88.48,8.58%,9,33.33%,0.874,-1.16,-0.12%,29.56,-0.068,-0.006,0.45%,+22.93,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,0.3305,+108.26,+10.83%,226.28,20.59%,11,45.45%,1.524,+9.84,+0.98%,36.36,0.331,0.037,0.67%,+34.80,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,0.3869,-56.52,-5.65%,"1,925.36",75.07%,451,53.88%,0.995,-0.13,-0.01%,50.27,0.387,0.313,38.64%,+18.32,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
"28, 1.7, 0.85, 0.014, vwap, -0.014, -0.02, 0.8, 0.021",COMPLETED,0.2058,+60.93,+6.09%,212.38,19.71%,25,40.00%,1.227,+2.44,+0.24%,23.80,0.206,0.026,1.01%,+30.07,28,1.7,0.85,0.014,vwap,-0.014,-0.02,0.8,0.021,11,
"5, 3, 2, 0.02, vwap, -0.002, -0.017, 0.1, 0.03",COMPLETED,0.1791,+48.77,+4.88%,448.26,35.94%,10,50.00%,1.122,+4.88,+0.49%,25.00,0.179,0.016,0.43%,+28.85,5,3,2,0.02,vwap,-0.002,-0.017,0.1,0.03,12,
"10, 1.7, 1.19, 0.016, vwap, -0.015, -0.022, 0.1, 0.021",COMPLETED,0.4822,+300.11,+30.01%,247.20,24.25%,33,54.55%,1.544,+9.09,+0.91%,27.67,0.482,0.090,1.56%,+53.98,10,1.7,1.19,0.016,vwap,-0.015,-0.022,0.1,0.021,13,
"10, 2.7, 1.89, 0.017, vwap, -0.014, -0.023, 0.7, 0.03",COMPLETED,0.3277,+81.71,+8.17%,180.14,15.78%,5,40.00%,1.656,+16.34,+1.63%,27.80,0.328,0.023,0.24%,+32.14,10,2.7,1.89,0.017,vwap,-0.014,-0.023,0.7,0.03,14,
"30, 2, 1, 0.02, vwap, -0.02, -0.03, 0.9, 0.024",COMPLETED,-0.5152,-263.41,-26.34%,390.95,39.03%,14,28.57%,0.442,-18.81,-1.88%,26.36,-0.515,-0.049,0.63%,-2.37,30,2,1,0.02,vwap,-0.02,-0.03,0.9,0.024,15,
"5, 2.6, 2, 0.015, vwap, -0.011, -0.023, 0.2, 0.018",COMPLETED,0.9820,+525.26,+52.53%,188.44,11.65%,13,61.54%,9.151,+40.40,+4.04%,37.00,0.982,0.142,0.82%,+76.50,5,2.6,2,0.015,vwap,-0.011,-0.023,0.2,0.018,16,
"24, 1.3, 1.17, 0.014, vwap, -0.011, -0.027, 0.6, 0.016",COMPLETED,0.0382,-56.67,-5.67%,343.98,31.23%,71,40.85%,0.942,-0.80,-0.08%,22.55,0.038,0.009,2.73%,+18.31,24,1.3,1.17,0.014,vwap,-0.011,-0.027,0.6,0.016,17,
"5, 2, 1.6, 0.011, vwap, -0.004, -0.011, 0.2, 0.019",COMPLETED,1.0271,+823.24,+82.32%,322.74,26.83%,34,52.94%,2.734,+24.21,+2.42%,31.65,1.027,0.207,1.83%,+106.30,5,2,1.6,0.011,vwap,-0.004,-0.011,0.2,0.019,18,
"11, 2, 1.2, 0.011, combined, -0.004, -0.012, 0.4, 0.019",COMPLETED,0.4954,+153.43,+15.34%,143.93,13.03%,16,56.25%,2.076,+9.59,+0.96%,22.88,0.495,0.058,0.62%,+39.32,11,2,1.2,0.011,combined,-0.004,-0.012,0.4,0.019,19,
"16, 1.5, 1.2, 0.012, ladder, -0.005, -0.01, 0.6, 0.006",COMPLETED,-0.0143,-65.04,-6.50%,379.23,37.27%,42,45.24%,0.904,-1.55,-0.15%,32.07,-0.014,-0.003,2.29%,+17.47,16,1.5,1.2,0.012,ladder,-0.005,-0.01,0.6,0.006,20,
