iteration,status,skip_reason,score,param_volatility_multiplier_enter,param_stoploss_ladder_step0,param_volatility_multiplier_exit,param_stoploss_ladder_step1,param_lookback_days,param_target_daily_volatility,param_exit_mode,param_stoploss_ladder_ratio0,param_takeprofit_ladder_step0,closed_trades,symbol,strategy,initial_capital,final_equity,open_pnl,total_pnl,total_pnl_pct,total_net_pnl,return_pct,winning_trades,losing_trades,breakeven_trades,win_rate_pct,gross_profit,gross_loss,profit_factor,commission_paid,average_trade,average_winning_trade,average_losing_trade,average_win_loss_ratio,average_bars_held,average_winning_bars_held,average_losing_bars_held,best_trade,worst_trade,max_drawdown,max_drawdown_pct,max_drawdown_period_bars,max_drawdown_period_days,buy_hold_pnl,buy_hold_return_pct,return_vs_buy_hold_pct_points,strategy_outperformance_pnl,cagr_pct,required_account_size,return_on_required_account_pct,net_profit_to_max_drawdown_pct,max_position_value,average_position_value,capital_efficiency_pct,exposure_bars,exposure_pct,bars,start,end,long_closed_trades,long_net_pnl,long_gross_profit,long_gross_loss,long_profit_factor,long_win_rate_pct,short_closed_trades,short_net_pnl,short_gross_profit,short_gross_loss,short_profit_factor,short_win_rate_pct,max_trade_runup,max_trade_runup_pct,max_trade_drawdown,max_trade_drawdown_pct,average_trade_runup,average_trade_drawdown,sharpe_ratio,sortino_ratio
1,COMPLETED,,1.2700548032120444,2.0,-0.008,1.2,-0.028,20,0.01,time_only,0.5,0.012,4,LOGI,noise_boundary_intraday,1000.0,1094.7898248090005,0.0,94.78982480900049,9.478982480900049,94.78982480900038,9.478982480900049,3.0,1.0,0.0,75.0,105.4901796890002,-10.700354879999809,9.858568325259329,0.0,23.697456202250095,35.16339322966673,-10.700354879999809,3.2861894417531095,36.0,30.0,54.0,41.15237346900024,-10.700354879999809,-29.38572499999964,-2.6911211202709744,8054.0,149.03689629610656,-262.7339493011135,-26.273394930111348,35.752377411011395,357.523774110114,9.588337245221258,1029.3857249999996,9.208387342752449,322.57099257888495,8084.149737845,3335.958675869757,1.1725392018068754,144.0,0.7375915586743841,19523.0,2022-01-03 09:30:00,2022-12-30 15:55:00,3.0,66.28826858900044,76.98862346900023,-10.700354879999809,7.194959824454122,66.66666666666666,1.0,28.501556219999955,28.501556219999955,0.0,,100.0,,,,,,,1.2700548032120444,0.19777034464100857
2,COMPLETED,,1.5070835105468636,3.0,-0.0020000000000000018,2.0,-0.006000000000000002,5,0.02,combined,0.9,0.005,6,LOGI,noise_boundary_intraday,1000.0,1220.002548205006,0.0,220.00254820500595,22.000254820500594,220.0025482050059,22.000254820500594,4.0,1.0,1.0,66.66666666666666,226.82624495500602,-6.823696750000134,33.240962086276994,0.0,36.66709136750098,56.706561238751505,-6.823696750000134,8.310240521569249,9.0,11.5,8.0,119.98629915999909,-6.823696750000134,-69.87766393999664,-5.688019149894952,6201.0,114.74767741894175,-262.7339493011135,-26.273394930111348,48.27364975061194,482.73649750611946,22.267993479808634,1069.8776639399966,20.563336876742632,314.83958650065955,31819.55022797,21834.992741108526,0.6914068446247847,54.0,0.276596834502894,19523.0,2022-01-03 09:30:00,2022-12-30 15:55:00,5.0,201.3254280050043,208.14912475500444,-6.823696750000134,30.50386504280108,60.0,1.0,18.677120200001593,18.677120200001593,0.0,,100.0,,,,,,,1.5070835105468636,0.14047403478509649
3,COMPLETED,,-0.48685648476766397,0.5,-0.02,0.35,-0.03,5,0.005,time_only,0.1,0.03,182,LOGI,noise_boundary_intraday,1000.0,604.1275400236037,0.0,-395.87245997639627,-39.58724599763963,-395.8724599763962,-39.58724599763963,108.0,72.0,2.0,59.34065934065934,1398.5992125547016,-1794.4716725310977,0.779393307770627,0.0,-2.1751234064637153,12.94999270883983,-24.923217674043023,0.5195955385137513,55.92857142857143,57.5,54.15277777777778,144.34671703200033,-475.9465380599991,-682.0060085432955,-62.26134876248548,18437.0,341.1712511809432,-262.7339493011135,-26.273394930111348,-13.31385106752828,-133.13851067528276,-39.92195670499334,1682.0060085432956,-23.535733996529675,-58.04530385618519,31348.47870012,1494.9666377174512,-1.2628123481312057,10179.0,52.138503303795524,19523.0,2022-01-03 09:30:00,2022-12-30 15:55:00,94.0,91.06949485100242,723.0801953349008,-632.0107004838985,1.144094862288368,60.63829787234043,88.0,-486.9419548273986,675.5190172198005,-1162.460972047199,0.5811111370303903,57.95454545454546,,,,,,,-0.48685648476766397,-0.3647801075395577
4,COMPLETED,,-0.8070053892939658,0.5,-0.0020000000000000018,0.2,-0.005,30,0.005,ladder,0.1,0.005,165,LOGI,noise_boundary_intraday,1000.0,756.1536210117965,0.0,-243.84637898820347,-24.384637898820348,-243.8463789882034,-24.384637898820348,81.0,81.0,3.0,49.09090909090909,1068.9822189042989,-1312.828597892502,0.8142587849018125,0.0,-1.477856842352748,13.197311344497518,-16.20776046780867,0.8142587849018125,50.52121212121212,53.44444444444444,47.901234567901234,59.75623803999986,-70.36456422000005,-349.01395805270124,-33.14763252646494,16305.0,301.7192195316635,-262.7339493011135,-26.273394930111348,1.888757031291,18.887570312910043,-24.617276498930217,1349.0139580527011,-18.075897401402372,-69.86722833342456,4351.33793591,1397.4499956355635,-5.603940272618876,8335.0,42.69323362188188,19523.0,2022-01-03 09:30:00,2022-12-30 15:55:00,85.0,-227.03157793220333,557.1543582703989,-784.1859362026021,0.710487567487378,49.411764705882355,80.0,-16.814801056000128,511.82786063390006,-528.6426616899001,0.9681925007674398,48.75,,,,,,,-0.8070053892939658,-0.6946912561330031
5,COMPLETED,,1.8589626873713714,3.0,-0.02,2.0,-0.03,5,0.02,vwap,0.9,0.005,5,LOGI,noise_boundary_intraday,1000.0,1286.1069991500053,0.0,286.1069991500053,28.61069991500053,286.10699915000544,28.61069991500053,3.0,1.0,1.0,60.0,293.300430070006,-7.193430920000535,40.773371334465274,0.0,57.22139983000109,97.76681002333532,-7.193430920000535,13.591123778155092,11.2,16.0,8.0,205.36116587000342,-7.193430920000535,-64.60800723999682,-5.0226273203767695,6201.0,114.74767741894175,-262.7339493011135,-26.273394930111348,54.884094845111875,548.8409484511188,28.967945311028753,1064.6080072399968,26.87439857715701,442.8352016603995,33543.6563392,21452.694896703928,0.8529392152627477,56.0,0.28684116170670493,19523.0,2022-01-03 09:30:00,2022-12-30 15:55:00,4.0,267.42987895000385,274.6233098700044,-7.193430920000535,38.17695796680897,50.0,1.0,18.677120200001593,18.677120200001593,0.0,,100.0,,,,,,,1.8589626873713714,0.18672495484251897
6,SKIPPED_MIN_TRADES,closed_trades 0 < min_closed_trades 1,,3.0,-0.0020000000000000018,0.29999999999999993,-0.020000000000000004,30,0.02,combined,0.1,0.005,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,COMPLETED,,1.8589626873713714,3.0,-0.02,2.0,-0.03,5,0.02,vwap,0.1,0.03,5,LOGI,noise_boundary_intraday,1000.0,1286.1069991500053,0.0,286.1069991500053,28.61069991500053,286.10699915000544,28.61069991500053,3.0,1.0,1.0,60.0,293.300430070006,-7.193430920000535,40.773371334465274,0.0,57.22139983000109,97.76681002333532,-7.193430920000535,13.591123778155092,11.2,16.0,8.0,205.36116587000342,-7.193430920000535,-64.60800723999682,-5.0226273203767695,6201.0,114.74767741894175,-262.7339493011135,-26.273394930111348,54.884094845111875,548.8409484511188,28.967945311028753,1064.6080072399968,26.87439857715701,442.8352016603995,33543.6563392,21452.694896703928,0.8529392152627477,56.0,0.28684116170670493,19523.0,2022-01-03 09:30:00,2022-12-30 15:55:00,4.0,267.42987895000385,274.6233098700044,-7.193430920000535,38.17695796680897,50.0,1.0,18.677120200001593,18.677120200001593,0.0,,100.0,,,,,,,1.8589626873713714,0.18672495484251897
8,COMPLETED,,1.5739274532586494,3.0,-0.0020000000000000018,0.8999999999999998,-0.005,5,0.005,time_only,0.1,0.005,4,LOGI,noise_boundary_intraday,1000.0,1061.0741521600014,0.0,61.074152160001404,6.10741521600014,61.074152160001404,6.10741521600014,3.0,1.0,0.0,75.0,70.23216576000145,-9.158013600000048,7.6689300570596535,0.0,15.268538040000351,23.410721920000483,-9.158013600000048,2.556310019019884,29.5,16.0,70.0,50.634310760000844,-9.158013600000048,-15.929895519999263,-1.4878511994993282,6201.0,114.74767741894175,-262.7339493011135,-26.273394930111348,32.380810146111486,323.8081014611149,6.176781885774374,1015.9298955199993,6.011650255526821,383.39330024685705,7229.9088725,2751.782088724575,0.8447430422298369,118.0,0.6044153050248425,19523.0,2022-01-03 09:30:00,2022-12-30 15:55:00,3.0,56.404872160001005,65.56288576000105,-9.158013600000048,7.15907276660964,66.66666666666666,1.0,4.669280000000398,4.669280000000398,0.0,,100.0,,,,,,,1.5739274532586494,0.19926856851338381
9,COMPLETED,,1.4260401883816896,3.0,-0.0020000000000000018,0.5999999999999999,-0.012000000000000004,5,0.02,ladder,0.9,0.005,5,LOGI,noise_boundary_intraday,1000.0,1206.8800544550058,0.0,206.88005445500585,20.688005445500586,206.88005445500588,20.688005445500586,4.0,1.0,0.0,80.0,226.82624495500602,-19.946190500000135,11.37190808214754,0.0,41.37601089100117,56.706561238751505,-19.946190500000135,2.842977020536885,12.2,11.5,15.0,119.98629915999909,-19.946190500000135,-69.87766393999664,-5.688019149894952,6201.0,114.74767741894175,-262.7339493011135,-26.273394930111348,46.96140037561193,469.61400375611936,20.938445303378295,1069.8776639399966,19.33679535781098,296.0603471699513,31819.55022797,19603.765751587875,0.6501664950410089,61.0,0.3124519797162322,19523.0,2022-01-03 09:30:00,2022-12-30 15:55:00,4.0,188.2029342550043,208.14912475500444,-19.946190500000135,10.435532777800503,75.0,1.0,18.677120200001593,18.677120200001593,0.0,,100.0,,,,,,,1.4260401883816896,0.13650860879189128
10,COMPLETED,,-1.0128478758130703,0.5,-0.02,0.45,-0.03,5,0.02,time_only,0.1,0.005,16,LOGI,noise_boundary_intraday,1000.0,-940.4899645435917,0.0,-1940.4899645435917,-194.04899645435916,-1940.4899645435914,-194.04899645435916,9.0,6.0,1.0,56.25,571.4282253600043,-2511.9181899035957,0.227486797801299,0.0,-121.28062278397447,63.49202504000047,-418.6530316505993,0.151657865200866,50.125,51.333333333333336,45.0,123.06535956000018,-2071.745453539996,-2624.977703093603,-184.42336463384942,18437.0,341.1712511809432,-262.7339493011135,-26.273394930111348,-167.7756015242478,-1677.756015242478,,3624.977703093603,-53.53108690537744,-73.92405513603696,136456.64592307998,12434.84377324461,-1.422056032094939,802.0,4.107975208728167,19523.0,2022-01-03 09:30:00,2022-12-30 15:55:00,3.0,197.03529380000197,197.03529380000197,0.0,,100.0,13.0,-2137.5252583435936,374.3929315600022,-2511.9181899035957,0.1490466262256618,46.15384615384615,,,,,,,-1.0128478758130703,-0.14571821886408265
