PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,1.2701,+94.79,+9.48%,29.39,2.69%,4,75.00%,9.859,+23.70,+2.37%,36.00,1.270,0.198,0.74%,+35.75,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"5, 3, 2, 0.02, combined, -0.002, -0.006, 0.9, 0.005",COMPLETED,1.5071,+220.00,+22.00%,69.88,5.69%,6,66.67%,33.241,+36.67,+3.67%,9.00,1.507,0.140,0.28%,+48.27,5,3,2,0.02,combined,-0.002,-0.006,0.9,0.005,2,
"5, 0.5, 0.35, 0.005, time_only, -0.02, -0.03, 0.1, 0.03",COMPLETED,-0.4869,-395.87,-39.59%,682.01,62.26%,182,59.34%,0.779,-2.18,-0.22%,55.93,-0.487,-0.365,52.14%,-13.31,5,0.5,0.35,0.005,time_only,-0.02,-0.03,0.1,0.03,3,
"30, 0.5, 0.2, 0.005, ladder, -0.002, -0.005, 0.1, 0.005",COMPLETED,-0.8070,-243.85,-24.38%,349.01,33.15%,165,49.09%,0.814,-1.48,-0.15%,50.52,-0.807,-0.695,42.69%,+1.89,30,0.5,0.2,0.005,ladder,-0.002,-0.005,0.1,0.005,4,
"5, 3, 2, 0.02, vwap, -0.02, -0.03, 0.9, 0.005",COMPLETED,1.8590,+286.11,+28.61%,64.61,5.02%,5,60.00%,40.773,+57.22,+5.72%,11.20,1.859,0.187,0.29%,+54.88,5,3,2,0.02,vwap,-0.02,-0.03,0.9,0.005,5,
"30, 3, 0.3, 0.02, combined, -0.002, -0.02, 0.1, 0.005",SKIPPED_MIN_TRADES,,,,,,0,,,,,,,,,,30,3,0.3,0.02,combined,-0.002,-0.02,0.1,0.005,6,closed_trades 0 < min_closed_trades 1
"5, 3, 2, 0.02, vwap, -0.02, -0.03, 0.1, 0.03",COMPLETED,1.8590,+286.11,+28.61%,64.61,5.02%,5,60.00%,40.773,+57.22,+5.72%,11.20,1.859,0.187,0.29%,+54.88,5,3,2,0.02,vwap,-0.02,-0.03,0.1,0.03,7,
"5, 3, 0.9, 0.005, time_only, -0.002, -0.005, 0.1, 0.005",COMPLETED,1.5739,+61.07,+6.11%,15.93,1.49%,4,75.00%,7.669,+15.27,+1.53%,29.50,1.574,0.199,0.60%,+32.38,5,3,0.9,0.005,time_only,-0.002,-0.005,0.1,0.005,8,
"5, 3, 0.6, 0.02, ladder, -0.002, -0.012, 0.9, 0.005",COMPLETED,1.4260,+206.88,+20.69%,69.88,5.69%,5,80.00%,11.372,+41.38,+4.14%,12.20,1.426,0.137,0.31%,+46.96,5,3,0.6,0.02,ladder,-0.002,-0.012,0.9,0.005,9,
"5, 0.5, 0.45, 0.02, time_only, -0.02, -0.03, 0.1, 0.005",COMPLETED,-1.0128,"-1,940.49",-194.05%,"2,624.98",184.42%,16,56.25%,0.227,-121.28,-12.13%,50.12,-1.013,-0.146,4.11%,-167.78,5,0.5,0.45,0.02,time_only,-0.02,-0.03,0.1,0.005,10,
