PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"28, 1.7, 0.17, 0.014, ladder, -0.004, -0.01, 0.8, 0.02",COMPLETED,-0.1136,-21.43,-2.14%,59.61,5.88%,8,25.00%,0.419,-2.68,-0.27%,9.25,-0.114,-0.009,73.30%,-19.35,28,1.7,0.17,0.014,ladder,-0.004,-0.01,0.8,0.02,11,
"11, 0.5, 0.15, 0.014, ladder, -0.02, -0.03, 0.1, 0.02",COMPLETED,-0.0959,-788.76,-78.88%,"1,302.82",88.61%,445,50.34%,0.900,-1.77,-0.18%,50.93,-0.096,-0.076,38.65%,-96.08,11,0.5,0.15,0.014,ladder,-0.02,-0.03,0.1,0.02,12,
"11, 1.5, 1.35, 0.015, time_only, -0.016, -0.03, 0.7, 0.005",COMPLETED,-0.2349,-280.11,-28.01%,395.87,37.73%,51,49.02%,0.720,-5.49,-0.55%,33.41,-0.235,-0.054,2.91%,-45.22,11,1.5,1.35,0.015,time_only,-0.016,-0.03,0.7,0.005,13,
"11, 1.3, 0.65, 0.011, ladder, -0.002, -0.011, 0.3, 0.016",COMPLETED,0.1685,+9.93,+0.99%,27.23,2.72%,2,50.00%,,+4.96,+0.50%,33.50,0.169,0.013,97.46%,-16.21,11,1.3,0.65,0.011,ladder,-0.002,-0.011,0.3,0.016,14,
"25, 0.5, 0.1, 0.016, time_only, -0.02, -0.03, 0.6, 0.017",COMPLETED,0.3241,-217.80,-21.78%,"1,646.71",78.89%,405,48.89%,0.977,-0.54,-0.05%,50.16,0.324,0.254,34.72%,-38.98,25,0.5,0.1,0.016,time_only,-0.02,-0.03,0.6,0.017,15,
"26, 2.8, 0.56, 0.016, ladder, -0.012, -0.019, 0.7, 0.03",COMPLETED,-0.7293,-83.99,-8.40%,91.25,9.12%,2,0.00%,0.000,-41.99,-4.20%,28.50,-0.729,-0.025,0.10%,-25.60,26,2.8,0.56,0.016,ladder,-0.012,-0.019,0.7,0.03,16,
"24, 1.1, 0.33, 0.02, combined, -0.02, -0.03, 0.6, 0.017",COMPLETED,0.1928,-62.81,-6.28%,"1,439.01",64.10%,158,35.44%,0.984,-0.40,-0.04%,17.27,0.193,0.059,4.66%,-23.49,24,1.1,0.33,0.02,combined,-0.02,-0.03,0.6,0.017,17,
"22, 2, 0.4, 0.012, vwap, -0.014, -0.03, 0.9, 0.021",COMPLETED,0.1667,+32.55,+3.25%,140.22,13.27%,11,27.27%,1.350,+2.96,+0.30%,21.91,0.167,0.013,0.41%,-13.95,22,2,0.4,0.012,vwap,-0.014,-0.03,0.9,0.021,18,
"27, 1.9, 0.76, 0.016, time_only, -0.01, -0.018, 0.6, 0.015",COMPLETED,-0.5127,-211.44,-21.14%,233.71,23.37%,10,20.00%,0.300,-21.14,-2.11%,47.20,-0.513,-0.056,0.81%,-38.35,27,1.9,0.76,0.016,time_only,-0.01,-0.018,0.6,0.015,19,
"30, 1.5, 0.3, 0.017, ladder, -0.005, -0.017, 0.6, 0.023",COMPLETED,-1.4017,-34.59,-3.46%,34.59,3.46%,2,0.00%,0.000,-17.29,-1.73%,24.50,-1.402,-0.078,92.37%,-20.66,30,1.5,0.3,0.017,ladder,-0.005,-0.017,0.6,0.023,20,
