PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,-0.0045,-9.46,-0.95%,126.10,11.78%,10,30.00%,0.931,-0.95,-0.09%,40.90,-0.005,-0.000,0.70%,-18.15,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,-0.2744,-157.40,-15.74%,283.44,27.90%,32,31.25%,0.720,-4.92,-0.49%,13.06,-0.274,-0.033,0.71%,-32.94,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.2406,-360.53,-36.05%,618.46,52.11%,170,44.71%,0.848,-2.12,-0.21%,42.34,-0.241,-0.115,12.30%,-53.26,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.2431,-201.53,-20.15%,491.15,40.37%,125,43.20%,0.842,-1.61,-0.16%,40.06,-0.243,-0.095,8.55%,-37.36,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,-0.1313,-214.28,-21.43%,522.00,51.37%,68,25.00%,0.777,-3.15,-0.32%,13.26,-0.131,-0.024,1.54%,-38.63,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.1440,-16.17,-1.62%,64.76,6.48%,2,0.00%,0.000,-8.08,-0.81%,27.00,-0.144,-0.006,0.09%,-18.82,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,0.0786,+4.76,+0.48%,256.60,21.22%,15,33.33%,1.018,+0.32,+0.03%,17.80,0.079,0.007,0.46%,-16.73,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,-0.3015,-34.16,-3.42%,89.53,8.58%,8,25.00%,0.561,-4.27,-0.43%,42.00,-0.302,-0.029,0.57%,-20.62,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,0.2585,+45.01,+4.50%,129.76,12.85%,6,16.67%,2.053,+7.50,+0.75%,14.33,0.259,0.015,56.68%,-12.70,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,0.1914,-410.96,-41.10%,"1,332.80",80.28%,436,48.39%,0.948,-0.94,-0.09%,51.23,0.191,0.155,38.17%,-58.30,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
