PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,0.3130,+85.72,+8.57%,191.92,17.83%,16,37.50%,1.332,+5.36,+0.54%,37.75,0.313,0.044,1.03%,-124.26,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,0.6173,+413.17,+41.32%,563.37,37.66%,26,57.69%,1.578,+15.89,+1.59%,31.31,0.617,0.103,6.64%,-91.51,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.6012,-555.32,-55.53%,693.23,67.46%,191,48.17%,0.702,-2.91,-0.29%,43.84,-0.601,-0.299,14.24%,-188.36,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.7454,-53.01,-5.30%,68.87,6.78%,3,0.00%,0.000,-17.67,-1.77%,6.67,-0.745,-0.054,94.47%,-138.13,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,-0.0751,-325.53,-32.55%,660.44,57.69%,48,58.33%,0.795,-6.78,-0.68%,30.60,-0.075,-0.015,2.50%,-165.38,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.1860,-8.18,-0.82%,15.76,1.58%,2,0.00%,0.000,-4.09,-0.41%,17.00,-0.186,-0.010,74.23%,-133.65,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,0.7189,+294.66,+29.47%,253.46,19.39%,11,63.64%,2.595,+26.79,+2.68%,42.18,0.719,0.095,0.79%,-103.36,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,0.1852,+25.50,+2.55%,78.90,7.19%,11,54.55%,1.208,+2.32,+0.23%,40.91,0.185,0.021,0.77%,-130.28,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,0.4940,+234.23,+23.42%,187.92,15.77%,22,59.09%,1.499,+10.65,+1.06%,29.00,0.494,0.074,1.07%,-109.41,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,0.1065,-534.64,-53.46%,"1,667.12",90.69%,494,47.57%,0.941,-1.08,-0.11%,53.31,0.107,0.098,44.79%,-186.29,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
"28, 3, 1.5, 0.014, vwap, -0.015, -0.021, 0.1, 0.03",COMPLETED,0.9270,+170.61,+17.06%,49.01,4.38%,4,75.00%,15.528,+42.65,+4.27%,48.75,0.927,0.076,0.33%,-115.77,28,3,1.5,0.014,vwap,-0.015,-0.021,0.1,0.03,11,
"28, 3, 1.5, 0.014, vwap, -0.015, -0.021, 0.1, 0.03",COMPLETED,0.9270,+170.61,+17.06%,49.01,4.38%,4,75.00%,15.528,+42.65,+4.27%,48.75,0.927,0.076,0.33%,-115.77,28,3,1.5,0.014,vwap,-0.015,-0.021,0.1,0.03,12,
