PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,-0.3155,-87.09,-8.71%,132.65,12.88%,13,23.08%,0.539,-6.70,-0.67%,28.92,-0.315,-0.035,0.64%,-37.23,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,0.6987,+260.82,+26.08%,187.82,14.23%,9,44.44%,2.963,+28.98,+2.90%,13.56,0.699,0.054,48.49%,-2.43,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.7189,-616.99,-61.70%,792.70,72.27%,191,41.36%,0.703,-3.23,-0.32%,42.17,-0.719,-0.346,13.73%,-90.22,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.6430,-369.49,-36.95%,563.51,51.38%,137,43.07%,0.724,-2.70,-0.27%,38.85,-0.643,-0.247,8.99%,-65.47,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,0.1442,-101.02,-10.10%,849.51,51.86%,42,47.62%,0.943,-2.41,-0.24%,24.02,0.144,0.024,1.72%,-38.62,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.1103,-19.59,-1.96%,86.45,8.20%,2,0.00%,0.000,-9.80,-0.98%,24.50,-0.110,-0.004,0.08%,-30.48,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,-0.0406,-40.01,-4.00%,397.21,33.29%,8,50.00%,0.839,-5.00,-0.50%,26.50,-0.041,-0.003,0.36%,-32.52,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,-0.0537,-8.42,-0.84%,52.36,5.24%,8,25.00%,0.839,-1.05,-0.11%,29.25,-0.054,-0.005,0.40%,-29.36,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,-0.3605,-124.66,-12.47%,300.08,25.94%,5,40.00%,0.336,-24.93,-2.49%,25.80,-0.360,-0.037,68.68%,-40.98,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,0.4517,+72.62,+7.26%,964.61,66.02%,479,48.85%,1.009,+0.15,+0.02%,51.72,0.452,0.395,42.23%,-21.25,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
