PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"28, 1.7, 0.85, 0.014, combined, -0.004, -0.009, 0.9, 0.021",COMPLETED,-1.0492,-122.84,-12.28%,124.32,12.43%,6,0.00%,0.000,-20.47,-2.05%,6.83,-1.049,-0.075,57.04%,-40.80,28,1.7,0.85,0.014,combined,-0.004,-0.009,0.9,0.021,11,
"12, 0.5, 0.45, 0.012, combined, -0.02, -0.03, 0.8, 0.005",COMPLETED,2.6235,"+142,888.46","+14,288.85%","23,442.60",36.39%,1070,35.33%,1.867,+133.54,+13.35%,16.82,2.623,2.071,30.69%,"+14,260.33",12,0.5,0.45,0.012,combined,-0.02,-0.03,0.8,0.005,12,
"10, 1.5, 1.35, 0.011, combined, -0.02, -0.03, 0.8, 0.005",COMPLETED,-0.5500,-377.75,-37.78%,428.46,42.85%,66,22.73%,0.380,-5.72,-0.57%,17.53,-0.550,-0.101,28.65%,-66.29,10,1.5,1.35,0.011,combined,-0.02,-0.03,0.8,0.005,13,
"5, 1.3, 1.17, 0.015, combined, -0.002, -0.007, 0.7, 0.02",COMPLETED,0.6119,+729.33,+72.93%,884.17,57.54%,238,33.61%,1.187,+3.06,+0.31%,19.29,0.612,0.229,7.79%,+44.42,5,1.3,1.17,0.015,combined,-0.002,-0.007,0.7,0.02,14,
"12, 2.8, 1.96, 0.012, combined, -0.015, -0.021, 0.7, 0.01",COMPLETED,0.5793,+105.86,+10.59%,48.20,4.20%,5,40.00%,6.570,+21.17,+2.12%,21.00,0.579,0.042,0.18%,-17.93,12,2.8,1.96,0.012,combined,-0.015,-0.021,0.7,0.01,15,
"26, 0.5, 0.4, 0.02, combined, -0.012, -0.026, 0.9, 0.03",COMPLETED,2.9221,"+1,548,832.02","+154,883.20%","941,146.29",41.21%,920,35.65%,1.589,"+1,683.51",+168.35%,17.56,2.922,2.220,27.54%,"+154,854.69",26,0.5,0.4,0.02,combined,-0.012,-0.026,0.9,0.03,16,
"26, 0.5, 0.25, 0.02, combined, -0.02, -0.03, 0.9, 0.028",COMPLETED,2.9566,"+1,628,325.07","+162,832.51%","989,418.99",41.21%,920,35.87%,1.591,"+1,769.92",+176.99%,17.56,2.957,2.262,27.54%,"+162,803.99",26,0.5,0.25,0.02,combined,-0.02,-0.03,0.9,0.028,17,
"29, 0.9, 0.45, 0.02, combined, -0.015, -0.029, 0.9, 0.03",COMPLETED,0.8645,"+1,546.29",+154.63%,611.38,45.77%,184,32.07%,1.567,+8.40,+0.84%,19.04,0.865,0.284,33.33%,+126.11,29,0.9,0.45,0.02,combined,-0.015,-0.029,0.9,0.03,18,
"25, 1.2, 0.48, 0.02, vwap, -0.011, -0.019, 0.7, 0.03",COMPLETED,0.3640,+211.70,+21.17%,717.15,59.73%,106,36.79%,1.156,+2.00,+0.20%,20.17,0.364,0.096,3.64%,-7.35,25,1.2,0.48,0.02,vwap,-0.011,-0.019,0.7,0.03,19,
"25, 0.7, 0.42, 0.017, ladder, -0.013, -0.027, 0.9, 0.026",COMPLETED,-0.4419,-113.12,-11.31%,167.75,15.93%,3,33.33%,0.056,-37.71,-3.77%,30.67,-0.442,-0.023,96.40%,-39.83,25,0.7,0.42,0.017,ladder,-0.013,-0.027,0.9,0.026,20,
