PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"28, 1.7, 0.68, 0.005, time_only, -0.003, -0.008, 0.8, 0.02",COMPLETED,0.1737,+24.79,+2.48%,94.01,9.12%,19,47.37%,1.197,+1.30,+0.13%,32.42,0.174,0.023,1.05%,+6.85,28,1.7,0.68,0.005,time_only,-0.003,-0.008,0.8,0.02,11,
"28, 1.5, 0.6, 0.005, time_only, -0.002, -0.006, 0.9, 0.02",COMPLETED,0.1617,+28.13,+2.81%,141.13,12.71%,35,40.00%,1.110,+0.80,+0.08%,34.43,0.162,0.032,2.05%,+7.19,28,1.5,0.6,0.005,time_only,-0.002,-0.006,0.9,0.02,12,
"30, 1.7, 0.51, 0.005, time_only, -0.002, -0.007, 0.7, 0.02",COMPLETED,0.0541,+4.34,+0.43%,104.17,9.55%,19,42.11%,1.029,+0.23,+0.02%,35.42,0.054,0.008,1.14%,+4.81,30,1.7,0.51,0.005,time_only,-0.002,-0.007,0.7,0.02,13,
"26, 1.3, 0.65, 0.008, time_only, -0.004, -0.005, 0.7, 0.03",COMPLETED,-0.7771,-363.69,-36.37%,593.40,52.69%,76,39.47%,0.608,-4.79,-0.48%,33.45,-0.777,-0.218,4.32%,-31.99,26,1.3,0.65,0.008,time_only,-0.004,-0.005,0.7,0.03,14,
"24, 1.9, 0.57, 0.012, time_only, -0.005, -0.012, 0.2, 0.016",COMPLETED,-0.2738,-134.08,-13.41%,313.00,27.69%,16,43.75%,0.721,-8.38,-0.84%,34.88,-0.274,-0.035,0.95%,-9.03,24,1.9,0.57,0.012,time_only,-0.005,-0.012,0.2,0.016,15,
"13, 2.8, 0.28, 0.006, time_only, -0.006, -0.013, 0.7, 0.019",COMPLETED,0.0548,+3.54,+0.35%,25.91,2.59%,4,50.00%,1.220,+0.88,+0.09%,15.75,0.055,0.003,0.11%,+4.73,13,2.8,0.28,0.006,time_only,-0.006,-0.013,0.7,0.019,16,
"13, 1.6, 0.8, 0.011, combined, -0.004, -0.006, 0.9, 0.023",COMPLETED,0.4691,+47.36,+4.74%,38.30,3.61%,4,75.00%,4.534,+11.84,+1.18%,34.00,0.469,0.033,95.46%,+9.11,13,1.6,0.8,0.011,combined,-0.004,-0.006,0.9,0.023,17,
"12, 1.3, 0.65, 0.014, combined, -0.011, -0.012, 0.1, 0.024",COMPLETED,0.2356,+44.58,+4.46%,876.03,58.08%,130,40.00%,1.015,+0.34,+0.03%,23.72,0.236,0.080,5.23%,+8.83,12,1.3,0.65,0.014,combined,-0.011,-0.012,0.1,0.024,18,
"17, 2.1, 0.63, 0.01, combined, -0.007, -0.022, 0.3, 0.014",COMPLETED,-0.0596,-3.01,-0.30%,34.76,3.46%,2,50.00%,0.485,-1.50,-0.15%,23.50,-0.060,-0.003,95.29%,+4.07,17,2.1,0.63,0.01,combined,-0.007,-0.022,0.3,0.014,19,
"11, 2.5, 1.5, 0.011, combined, -0.02, -0.027, 0.9, 0.023",COMPLETED,-0.0840,-37.73,-3.77%,157.69,15.64%,10,60.00%,0.732,-3.77,-0.38%,25.90,-0.084,-0.009,0.44%,+0.60,11,2.5,1.5,0.011,combined,-0.02,-0.027,0.9,0.023,20,
