PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,-0.0523,-34.51,-3.45%,258.72,22.51%,15,53.33%,0.889,-2.30,-0.23%,32.40,-0.052,-0.006,0.83%,+0.92,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,-0.0913,-291.98,-29.20%,997.83,64.29%,30,53.33%,0.784,-9.73,-0.97%,28.07,-0.091,-0.015,1.43%,-24.82,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.4642,-556.75,-55.68%,711.82,64.91%,237,49.37%,0.772,-2.35,-0.23%,42.43,-0.464,-0.258,17.10%,-51.30,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.4197,-350.38,-35.04%,439.81,42.24%,187,43.85%,0.795,-1.87,-0.19%,38.64,-0.420,-0.200,12.28%,-30.66,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,-0.3682,-643.54,-64.35%,"1,746.36",87.05%,53,45.28%,0.705,-12.14,-1.21%,27.17,-0.368,-0.078,2.45%,-59.98,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.2105,-50.59,-5.06%,106.49,10.62%,2,0.00%,0.000,-25.29,-2.53%,11.50,-0.211,-0.007,0.04%,-0.68,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,-0.0842,-85.79,-8.58%,243.71,23.00%,11,45.45%,0.565,-7.80,-0.78%,29.64,-0.084,-0.010,0.55%,-4.20,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,0.3221,+52.15,+5.22%,109.91,10.24%,11,72.73%,1.595,+4.74,+0.47%,33.18,0.322,0.039,0.62%,+9.59,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,-0.0357,-98.96,-9.90%,346.90,32.02%,19,63.16%,0.789,-5.21,-0.52%,31.26,-0.036,-0.005,0.98%,-5.52,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,-0.7844,-966.25,-96.62%,"1,295.15",97.99%,530,46.42%,0.796,-1.82,-0.18%,53.36,-0.784,-0.697,48.09%,-92.25,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
