PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"28, 1.2, 1.08, 0.012, time_only, -0.01, -0.024, 0.7, 0.015",COMPLETED,-0.8269,-206.38,-20.64%,426.18,37.94%,25,40.00%,0.622,-8.26,-0.83%,39.08,-0.827,-0.233,5.00%,+5.64,28,1.2,1.08,0.012,time_only,-0.01,-0.024,0.7,0.015,19,
"23, 2, 1.6, 0.005, vwap, -0.005, -0.023, 0.9, 0.019",COMPLETED,1.0354,+27.64,+2.76%,11.40,1.12%,4,75.00%,5.549,+6.91,+0.69%,23.50,1.035,0.128,0.48%,+29.04,23,2,1.6,0.005,vwap,-0.005,-0.023,0.9,0.019,20,
"17, 2, 1.2, 0.015, time_only, -0.002, -0.015, 0.6, 0.011",COMPLETED,0.2776,+35.04,+3.50%,215.76,19.88%,4,75.00%,1.427,+8.76,+0.88%,35.25,0.278,0.030,0.72%,+29.78,17,2,1.2,0.015,time_only,-0.002,-0.015,0.6,0.011,21,
"22, 2, 1.6, 0.006, vwap, -0.005, -0.023, 0.9, 0.019",COMPLETED,1.3387,+45.81,+4.58%,13.95,1.34%,4,75.00%,5.866,+11.45,+1.15%,24.25,1.339,0.175,0.50%,+30.85,22,2,1.6,0.006,vwap,-0.005,-0.023,0.9,0.019,22,
"22, 1.6, 1.28, 0.005, vwap, -0.004, -0.024, 0.8, 0.021",COMPLETED,1.6419,+60.62,+6.06%,25.76,2.49%,7,57.14%,3.407,+8.66,+0.87%,27.00,1.642,0.269,0.97%,+32.33,22,1.6,1.28,0.005,vwap,-0.004,-0.024,0.8,0.021,23,
"27, 1.5, 1.2, 0.005, vwap, -0.004, -0.021, 0.8, 0.023",COMPLETED,1.2630,+50.21,+5.02%,26.76,2.59%,11,54.55%,2.557,+4.56,+0.46%,22.64,1.263,0.230,1.28%,+31.29,27,1.5,1.2,0.005,vwap,-0.004,-0.021,0.8,0.023,24,
"30, 1.7, 1.53, 0.007, vwap, -0.004, -0.022, 0.9, 0.019",COMPLETED,1.6166,+57.94,+5.79%,22.04,2.13%,5,80.00%,6.888,+11.59,+1.16%,28.00,1.617,0.247,0.72%,+32.07,30,1.7,1.53,0.007,vwap,-0.004,-0.022,0.9,0.019,25,
"29, 1.3, 1.17, 0.007, vwap, -0.003, -0.022, 0.8, 0.025",COMPLETED,-0.0361,-9.10,-0.91%,175.35,15.97%,21,47.62%,0.959,-0.43,-0.04%,24.71,-0.036,-0.008,2.66%,+25.36,29,1.3,1.17,0.007,vwap,-0.003,-0.022,0.8,0.025,26,
"26, 1.7, 1.53, 0.007, vwap, -0.006, -0.02, 0.9, 0.021",COMPLETED,1.0498,+51.67,+5.17%,42.58,4.06%,6,66.67%,2.248,+8.61,+0.86%,30.00,1.050,0.161,0.92%,+31.44,26,1.7,1.53,0.007,vwap,-0.006,-0.02,0.9,0.021,27,
"30, 1, 0.7, 0.013, vwap, -0.014, -0.03, 0.7, 0.027",COMPLETED,1.3255,+434.49,+43.45%,299.62,21.57%,60,46.67%,1.833,+7.24,+0.72%,24.45,1.326,0.491,7.51%,+69.72,30,1,0.7,0.013,vwap,-0.014,-0.03,0.7,0.027,28,
"26, 0.7, 0.63, 0.005, vwap, -0.019, -0.026, 0.8, 0.018",COMPLETED,1.8864,+410.06,+41.01%,113.66,10.18%,158,45.57%,1.694,+2.60,+0.26%,20.62,1.886,1.034,16.69%,+67.28,26,0.7,0.63,0.005,vwap,-0.019,-0.026,0.8,0.018,29,
"19, 0.5, 0.4, 0.011, vwap, -0.02, -0.027, 0.8, 0.023",COMPLETED,2.4323,"+2,346.57",+234.66%,480.81,25.31%,352,33.52%,1.495,+6.67,+0.67%,16.26,2.432,1.842,29.32%,+260.93,19,0.5,0.4,0.011,vwap,-0.02,-0.027,0.8,0.023,30,
"19, 0.5, 0.35, 0.01, vwap, -0.02, -0.027, 0.8, 0.029",COMPLETED,2.4297,"+2,037.30",+203.73%,397.70,23.18%,352,34.66%,1.500,+5.79,+0.58%,16.26,2.430,1.840,29.32%,+230.00,19,0.5,0.35,0.01,vwap,-0.02,-0.027,0.8,0.029,31,
"19, 0.5, 0.35, 0.01, vwap, -0.02, -0.027, 0.8, 0.03",COMPLETED,2.4297,"+2,037.30",+203.73%,397.70,23.18%,352,34.66%,1.500,+5.79,+0.58%,16.26,2.430,1.840,29.32%,+230.00,19,0.5,0.35,0.01,vwap,-0.02,-0.027,0.8,0.03,32,
"19, 0.5, 0.35, 0.01, vwap, -0.02, -0.026, 0.8, 0.03",COMPLETED,2.4297,"+2,037.30",+203.73%,397.70,23.18%,352,34.66%,1.500,+5.79,+0.58%,16.26,2.430,1.840,29.32%,+230.00,19,0.5,0.35,0.01,vwap,-0.02,-0.026,0.8,0.03,33,
"18, 0.5, 0.35, 0.01, combined, -0.02, -0.026, 0.6, 0.03",COMPLETED,1.2525,+256.51,+25.65%,202.45,13.88%,60,23.33%,1.657,+4.28,+0.43%,14.42,1.253,0.324,84.06%,+51.92,18,0.5,0.35,0.01,combined,-0.02,-0.026,0.6,0.03,34,
