PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"18, 0.5, 0.45, 0.012, combined, -0.019, -0.021, 0.2, 0.026",COMPLETED,1.4001,+360.77,+36.08%,267.41,16.42%,60,25.00%,1.715,+6.01,+0.60%,14.40,1.400,0.371,84.06%,+62.35,18,0.5,0.45,0.012,combined,-0.019,-0.021,0.2,0.026,69,
"19, 2.9, 2, 0.015, combined, -0.02, -0.025, 0.3, 0.027",SKIPPED_MIN_TRADES,,,,,,0,,,,,,,,,,19,2.9,2,0.015,combined,-0.02,-0.025,0.3,0.027,70,closed_trades 0 < min_closed_trades 1
"20, 1, 0.9, 0.007, ladder, -0.013, -0.017, 0.3, 0.029",COMPLETED,-0.2921,-81.45,-8.14%,253.70,22.05%,58,53.45%,0.849,-1.40,-0.14%,35.98,-0.292,-0.119,10.43%,+18.13,20,1,0.9,0.007,ladder,-0.013,-0.017,0.3,0.029,71,
"16, 0.5, 0.4, 0.018, combined, -0.018, -0.024, 0.2, 0.026",COMPLETED,2.8275,"+8,521.16",+852.12%,"1,784.01",43.57%,349,36.10%,1.593,+24.42,+2.44%,17.14,2.828,2.208,30.65%,+878.39,16,0.5,0.4,0.018,combined,-0.018,-0.024,0.2,0.026,72,
"16, 0.5, 0.4, 0.017, combined, -0.017, -0.023, 0.2, 0.008",COMPLETED,2.6884,"+6,588.46",+658.85%,"1,343.96",41.68%,349,34.38%,1.585,+18.88,+1.89%,17.14,2.688,2.096,30.65%,+685.12,16,0.5,0.4,0.017,combined,-0.017,-0.023,0.2,0.008,73,
"16, 0.7, 0.63, 0.017, combined, -0.017, -0.021, 0.1, 0.005",COMPLETED,0.3330,+55.89,+5.59%,256.34,25.10%,36,30.56%,1.141,+1.55,+0.16%,15.94,0.333,0.068,85.03%,+31.86,16,0.7,0.63,0.017,combined,-0.017,-0.021,0.1,0.005,74,
"12, 0.5, 0.4, 0.019, combined, -0.015, -0.02, 0.2, 0.011",COMPLETED,2.5375,"+7,521.09",+752.11%,"1,899.00",39.74%,363,36.36%,1.585,+20.72,+2.07%,17.00,2.538,1.996,31.60%,+778.38,12,0.5,0.4,0.019,combined,-0.015,-0.02,0.2,0.011,75,
"14, 0.7, 0.56, 0.018, combined, -0.017, -0.019, 0.3, 0.008",COMPLETED,1.2632,+962.20,+96.22%,822.50,38.16%,176,42.61%,1.286,+5.47,+0.55%,21.82,1.263,0.736,19.67%,+122.49,14,0.7,0.56,0.018,combined,-0.017,-0.019,0.3,0.008,76,
"13, 0.5, 0.35, 0.016, time_only, -0.019, -0.025, 0.2, 0.024",COMPLETED,-0.3537,-610.32,-61.03%,822.94,81.28%,171,54.97%,0.787,-3.57,-0.36%,52.13,-0.354,-0.296,45.66%,-34.76,13,0.5,0.35,0.016,time_only,-0.019,-0.025,0.2,0.024,77,
"18, 0.8, 0.72, 0.016, combined, -0.02, -0.023, 0.1, 0.016",COMPLETED,1.4391,+889.52,+88.95%,981.17,34.49%,130,43.85%,1.336,+6.84,+0.68%,21.90,1.439,0.737,14.58%,+115.23,18,0.8,0.72,0.016,combined,-0.02,-0.023,0.1,0.016,78,
"15, 0.6, 0.48, 0.017, combined, -0.018, -0.026, 0.5, 0.006",COMPLETED,1.9381,"+2,461.17",+246.12%,762.18,36.66%,253,40.32%,1.413,+9.73,+0.97%,19.02,1.938,1.344,24.64%,+272.39,15,0.6,0.48,0.017,combined,-0.018,-0.026,0.5,0.006,79,
"10, 0.5, 0.35, 0.018, combined, -0.016, -0.017, 0.3, 0.013",COMPLETED,2.5886,"+7,537.07",+753.71%,"1,879.71",53.84%,373,35.66%,1.681,+20.21,+2.02%,16.49,2.589,2.013,31.51%,+779.98,10,0.5,0.35,0.018,combined,-0.016,-0.017,0.3,0.013,80,
"18, 0.7, 0.63, 0.019, ladder, -0.019, -0.026, 0.4, 0.022",COMPLETED,0.5113,+32.67,+3.27%,577.87,52.93%,105,60.95%,1.011,+0.31,+0.03%,46.29,0.511,0.331,24.57%,+29.54,18,0.7,0.63,0.019,ladder,-0.019,-0.026,0.4,0.022,81,
"19, 0.5, 0.4, 0.01, combined, -0.018, -0.024, 0.2, 0.025",COMPLETED,2.4863,"+2,136.06",+213.61%,410.63,23.18%,353,33.43%,1.508,+6.05,+0.61%,16.21,2.486,1.887,29.31%,+239.88,19,0.5,0.4,0.01,combined,-0.018,-0.024,0.2,0.025,82,
"20, 0.6, 0.48, 0.009, combined, -0.017, -0.021, 0.2, 0.026",COMPLETED,2.8901,"+1,980.76",+198.08%,326.29,14.77%,225,44.00%,1.881,+8.80,+0.88%,19.71,2.890,1.949,22.72%,+224.35,20,0.6,0.48,0.009,combined,-0.017,-0.021,0.2,0.026,83,
"5, 0.6, 0.48, 0.019, combined, -0.017, -0.021, 0.2, 0.027",COMPLETED,2.9673,"+23,154.47","+2,315.45%","17,471.41",54.10%,379,38.26%,1.505,+61.09,+6.11%,15.88,2.967,2.030,30.83%,"+2,341.72",5,0.6,0.48,0.019,combined,-0.017,-0.021,0.2,0.027,84,
"22, 1.9, 1.33, 0.019, combined, -0.015, -0.019, 0.2, 0.028",COMPLETED,1.6124,+151.22,+15.12%,48.05,4.42%,4,75.00%,7.283,+37.80,+3.78%,27.25,1.612,0.235,0.56%,+41.40,22,1.9,1.33,0.019,combined,-0.015,-0.019,0.2,0.028,85,
"8, 0.6, 0.48, 0.018, combined, -0.017, -0.02, 0.1, 0.009",COMPLETED,2.3082,"+5,482.08",+548.21%,"3,321.11",47.79%,296,38.18%,1.607,+18.52,+1.85%,17.10,2.308,1.575,25.92%,+574.48,8,0.6,0.48,0.018,combined,-0.017,-0.02,0.1,0.009,86,
"16, 0.8, 0.72, 0.02, combined, -0.017, -0.022, 0.2, 0.027",COMPLETED,1.2486,+900.27,+90.03%,"1,447.22",44.26%,130,44.62%,1.235,+6.93,+0.69%,22.04,1.249,0.642,14.67%,+116.30,16,0.8,0.72,0.02,combined,-0.017,-0.022,0.2,0.027,87,
"5, 0.7, 0.56, 0.011, combined, -0.016, -0.02, 0.2, 0.024",COMPLETED,2.5012,"+3,763.94",+376.39%,"2,269.06",34.56%,298,38.26%,1.529,+12.63,+1.26%,16.20,2.501,1.656,24.68%,+402.67,5,0.7,0.56,0.011,combined,-0.016,-0.02,0.2,0.024,88,
"21, 1.4, 0.98, 0.019, combined, -0.018, -0.022, 0.1, 0.025",COMPLETED,0.1785,+9.64,+0.96%,403.76,33.27%,20,45.00%,1.018,+0.48,+0.05%,23.65,0.178,0.033,2.42%,+27.24,21,1.4,0.98,0.019,combined,-0.018,-0.022,0.1,0.025,89,
"11, 0.5, 0.4, 0.015, time_only, -0.014, -0.016, 0.3, 0.026",COMPLETED,-1.0586,-849.51,-84.95%,"1,159.78",90.35%,172,55.23%,0.692,-4.94,-0.49%,53.56,-1.059,-0.849,47.19%,-58.68,11,0.5,0.4,0.015,time_only,-0.014,-0.016,0.3,0.026,90,
"17, 2.2, 1.98, 0.017, combined, -0.017, -0.02, 0.2, 0.028",COMPLETED,-0.8193,-95.46,-9.55%,169.14,16.22%,3,33.33%,0.301,-31.82,-3.18%,21.33,-0.819,-0.045,0.33%,+16.73,17,2.2,1.98,0.017,combined,-0.017,-0.02,0.2,0.028,91,
"7, 0.6, 0.48, 0.01, combined, -0.02, -0.025, 0.3, 0.027",COMPLETED,2.5345,"+3,321.94",+332.19%,"1,190.57",29.50%,308,40.91%,1.684,+10.79,+1.08%,17.55,2.534,1.729,27.68%,+358.47,7,0.6,0.48,0.01,combined,-0.02,-0.025,0.3,0.027,92,
"19, 0.6, 0.48, 0.009, combined, -0.019, -0.026, 0.2, 0.026",COMPLETED,2.7145,"+1,739.02",+173.90%,343.66,18.16%,227,44.05%,1.828,+7.66,+0.77%,19.79,2.714,1.837,22.98%,+200.17,19,0.6,0.48,0.009,combined,-0.019,-0.026,0.2,0.026,93,
"18, 0.6, 0.48, 0.009, combined, -0.018, -0.025, 0.2, 0.026",COMPLETED,2.3987,"+1,463.40",+146.34%,273.64,14.30%,233,40.77%,1.598,+6.28,+0.63%,19.32,2.399,1.601,23.05%,+172.61,18,0.6,0.48,0.009,combined,-0.018,-0.025,0.2,0.026,94,
"20, 0.7, 0.49, 0.01, combined, -0.019, -0.025, 0.2, 0.025",COMPLETED,2.4159,"+1,415.58",+141.56%,336.04,18.84%,164,45.12%,1.931,+8.63,+0.86%,20.98,2.416,1.398,17.63%,+167.83,20,0.7,0.49,0.01,combined,-0.019,-0.025,0.2,0.025,95,
"16, 0.5, 0.4, 0.009, combined, -0.02, -0.028, 0.1, 0.029",COMPLETED,0.9663,+164.43,+16.44%,140.16,10.74%,61,24.59%,1.506,+2.70,+0.27%,14.79,0.966,0.248,84.25%,+42.72,16,0.5,0.4,0.009,combined,-0.02,-0.028,0.1,0.029,96,
"18, 0.8, 0.64, 0.008, combined, -0.016, -0.021, 0.2, 0.018",COMPLETED,1.3988,+413.60,+41.36%,325.74,18.83%,130,42.31%,1.433,+3.18,+0.32%,21.90,1.399,0.714,14.58%,+67.63,18,0.8,0.64,0.008,combined,-0.016,-0.021,0.2,0.018,97,
"19, 0.6, 0.36, 0.009, combined, -0.018, -0.025, 0.2, 0.023",COMPLETED,2.7395,"+1,789.41",+178.94%,349.99,18.16%,226,41.59%,1.842,+7.92,+0.79%,19.85,2.740,1.848,22.98%,+205.21,19,0.6,0.36,0.009,combined,-0.018,-0.025,0.2,0.023,98,
"15, 0.5, 0.3, 0.018, combined, -0.017, -0.024, 0.1, 0.021",COMPLETED,2.8144,"+7,954.00",+795.40%,"1,840.44",33.51%,351,35.90%,1.549,+22.66,+2.27%,17.13,2.814,2.218,30.80%,+821.67,15,0.5,0.3,0.018,combined,-0.017,-0.024,0.1,0.021,99,
"15, 0.7, 0.42, 0.007, combined, -0.018, -0.025, 0.1, 0.022",COMPLETED,1.3739,+456.95,+45.69%,191.56,17.05%,176,42.61%,1.394,+2.60,+0.26%,21.41,1.374,0.803,19.31%,+71.97,15,0.7,0.42,0.007,combined,-0.018,-0.025,0.1,0.022,100,
"7, 0.6, 0.36, 0.011, combined, -0.016, -0.023, 0.1, 0.021",COMPLETED,2.5371,"+3,879.24",+387.92%,"1,494.06",32.10%,308,39.61%,1.666,+12.59,+1.26%,17.55,2.537,1.734,27.68%,+414.20,7,0.6,0.36,0.011,combined,-0.016,-0.023,0.1,0.021,101,
"17, 0.5, 0.25, 0.019, combined, -0.017, -0.023, 0.2, 0.02",COMPLETED,3.0469,"+11,720.36","+1,172.04%","2,562.57",41.31%,344,35.76%,1.680,+34.07,+3.41%,16.98,3.047,2.354,29.92%,"+1,198.31",17,0.5,0.25,0.019,combined,-0.017,-0.023,0.2,0.02,102,
"19, 0.5, 0.2, 0.02, combined, -0.017, -0.025, 0.2, 0.02",COMPLETED,2.4521,"+6,155.38",+615.54%,"1,850.18",42.87%,353,34.56%,1.438,+17.44,+1.74%,16.21,2.452,1.861,29.31%,+641.81,19,0.5,0.2,0.02,combined,-0.017,-0.025,0.2,0.02,103,
"17, 0.6, 0.3, 0.018, combined, -0.018, -0.024, 0.1, 0.023",COMPLETED,2.5528,"+4,882.87",+488.29%,"1,222.90",36.25%,238,38.24%,1.637,+20.52,+2.05%,18.96,2.553,1.720,23.12%,+514.56,17,0.6,0.3,0.018,combined,-0.018,-0.024,0.1,0.023,104,
"20, 0.7, 0.42, 0.019, combined, -0.015, -0.022, 0.2, 0.02",COMPLETED,2.5611,"+4,197.91",+419.79%,"1,371.69",33.14%,165,46.06%,1.902,+25.44,+2.54%,20.95,2.561,1.492,17.63%,+446.06,20,0.7,0.42,0.019,combined,-0.015,-0.022,0.2,0.02,105,
"17, 0.9, 0.54, 0.008, combined, -0.017, -0.022, 0.2, 0.021",COMPLETED,1.1085,+264.60,+26.46%,270.40,17.71%,95,45.26%,1.389,+2.79,+0.28%,22.33,1.108,0.487,10.86%,+52.73,17,0.9,0.54,0.008,combined,-0.017,-0.022,0.2,0.021,106,
"24, 0.5, 0.25, 0.019, ladder, -0.018, -0.026, 0.1, 0.024",COMPLETED,-0.2438,-597.62,-59.76%,918.97,77.93%,165,51.52%,0.825,-3.62,-0.36%,52.19,-0.244,-0.213,43.93%,-33.49,24,0.5,0.25,0.019,ladder,-0.018,-0.026,0.1,0.024,107,
"13, 0.6, 0.24, 0.009, combined, -0.019, -0.025, 0.2, 0.022",COMPLETED,1.6791,+953.37,+95.34%,331.19,22.46%,253,39.13%,1.434,+3.77,+0.38%,19.25,1.679,1.151,24.94%,+121.61,13,0.6,0.24,0.009,combined,-0.019,-0.025,0.2,0.022,108,
"21, 0.8, 0.48, 0.014, combined, -0.016, -0.021, 0.3, 0.023",COMPLETED,0.5771,+175.99,+17.60%,572.54,33.01%,132,45.45%,1.082,+1.33,+0.13%,21.64,0.577,0.289,14.56%,+43.87,21,0.8,0.48,0.014,combined,-0.016,-0.021,0.3,0.023,109,
"18, 0.5, 0.25, 0.018, combined, -0.019, -0.026, 0.2, 0.024",COMPLETED,1.4152,+553.41,+55.34%,490.78,24.01%,60,23.33%,1.625,+9.22,+0.92%,14.40,1.415,0.379,84.06%,+81.61,18,0.5,0.25,0.018,combined,-0.019,-0.026,0.2,0.024,110,
"19, 0.9, 0.63, 0.01, time_only, -0.008, -0.018, 0.1, 0.02",COMPLETED,0.2365,+21.32,+2.13%,320.30,24.15%,63,57.14%,1.024,+0.34,+0.03%,47.67,0.237,0.122,15.38%,+28.40,19,0.9,0.63,0.01,time_only,-0.008,-0.018,0.1,0.02,111,
"16, 0.5, 0.45, 0.017, combined, -0.017, -0.023, 0.2, 0.025",COMPLETED,2.8249,"+7,599.12",+759.91%,"1,522.95",41.68%,349,35.53%,1.601,+21.77,+2.18%,17.14,2.825,2.205,30.65%,+786.19,16,0.5,0.45,0.017,combined,-0.017,-0.023,0.2,0.025,112,
"16, 0.6, 0.54, 0.018, combined, -0.017, -0.023, 0.2, 0.025",COMPLETED,2.3899,"+4,330.23",+433.02%,"1,099.03",41.24%,242,40.08%,1.639,+17.89,+1.79%,19.19,2.390,1.651,23.78%,+459.30,16,0.6,0.54,0.018,combined,-0.017,-0.023,0.2,0.025,113,
"15, 0.5, 0.45, 0.02, combined, -0.018, -0.022, 0.6, 0.027",COMPLETED,2.8998,"+10,867.58","+1,086.76%","2,641.85",36.60%,351,36.18%,1.541,+30.96,+3.10%,17.13,2.900,2.292,30.80%,"+1,113.03",15,0.5,0.45,0.02,combined,-0.018,-0.022,0.6,0.027,114,
"14, 0.5, 0.45, 0.02, combined, -0.017, -0.021, 0.2, 0.027",COMPLETED,2.6134,"+8,523.44",+852.34%,"2,384.05",45.86%,355,36.06%,1.508,+24.01,+2.40%,17.08,2.613,2.060,31.05%,+878.62,14,0.5,0.45,0.02,combined,-0.017,-0.021,0.2,0.027,115,
"15, 0.5, 0.45, 0.019, combined, -0.016, -0.019, 0.6, 0.024",COMPLETED,2.7890,"+8,622.53",+862.25%,"2,060.97",35.07%,351,35.04%,1.539,+24.57,+2.46%,17.13,2.789,2.197,30.79%,+888.53,15,0.5,0.45,0.019,combined,-0.016,-0.019,0.6,0.024,116,
"15, 0.5, 0.45, 0.019, combined, -0.016, -0.019, 0.6, 0.025",COMPLETED,2.7890,"+8,622.53",+862.25%,"2,060.97",35.07%,351,35.04%,1.539,+24.57,+2.46%,17.13,2.789,2.197,30.79%,+888.53,15,0.5,0.45,0.019,combined,-0.016,-0.019,0.6,0.025,117,
"15, 0.5, 0.45, 0.019, combined, -0.015, -0.018, 0.6, 0.025",COMPLETED,2.7710,"+8,454.98",+845.50%,"2,025.08",35.07%,351,35.61%,1.537,+24.09,+2.41%,17.13,2.771,2.183,30.80%,+871.77,15,0.5,0.45,0.019,combined,-0.015,-0.018,0.6,0.025,118,
"13, 0.5, 0.45, 0.02, combined, -0.014, -0.017, 0.6, 0.025",COMPLETED,-1.0465,-76.73,-7.67%,97.82,9.63%,2,0.00%,0.000,-38.36,-3.84%,17.50,-1.047,-0.064,94.27%,+18.60,13,0.5,0.45,0.02,combined,-0.014,-0.017,0.6,0.025,119,
"15, 0.5, 0.45, 0.019, combined, -0.016, -0.017, 0.6, 0.026",COMPLETED,2.7949,"+8,678.38",+867.84%,"2,072.93",35.07%,351,35.61%,1.540,+24.72,+2.47%,17.11,2.795,2.201,30.77%,+894.11,15,0.5,0.45,0.019,combined,-0.016,-0.017,0.6,0.026,120,
"15, 0.7, 0.63, 0.019, combined, -0.015, -0.016, 0.6, 0.027",COMPLETED,0.7876,+238.66,+23.87%,240.76,23.02%,38,28.95%,1.449,+6.28,+0.63%,16.05,0.788,0.175,85.23%,+50.14,15,0.7,0.63,0.019,combined,-0.015,-0.016,0.6,0.027,121,
"15, 0.5, 0.45, 0.019, combined, -0.016, -0.018, 0.6, 0.026",COMPLETED,2.7890,"+8,622.53",+862.25%,"2,060.97",35.07%,351,35.04%,1.539,+24.57,+2.46%,17.13,2.789,2.197,30.79%,+888.53,15,0.5,0.45,0.019,combined,-0.016,-0.018,0.6,0.026,122,
"15, 0.5, 0.45, 0.019, combined, -0.016, -0.018, 0.6, 0.025",COMPLETED,2.7890,"+8,622.53",+862.25%,"2,060.97",35.07%,351,35.04%,1.539,+24.57,+2.46%,17.13,2.789,2.197,30.79%,+888.53,15,0.5,0.45,0.019,combined,-0.016,-0.018,0.6,0.025,123,
"14, 0.5, 0.45, 0.02, combined, -0.016, -0.018, 0.6, 0.024",COMPLETED,2.6134,"+8,523.44",+852.34%,"2,384.05",45.86%,355,36.06%,1.508,+24.01,+2.40%,17.08,2.613,2.060,31.05%,+878.62,14,0.5,0.45,0.02,combined,-0.016,-0.018,0.6,0.024,124,
"15, 0.6, 0.54, 0.019, combined, -0.016, -0.017, 0.6, 0.027",COMPLETED,1.9535,"+2,828.95",+282.89%,934.21,40.14%,254,39.37%,1.389,+11.14,+1.11%,18.93,1.953,1.366,24.63%,+309.17,15,0.6,0.54,0.019,combined,-0.016,-0.017,0.6,0.027,125,
"14, 2.7, 2, 0.018, combined, -0.016, -0.018, 0.6, 0.026",SKIPPED_MIN_TRADES,,,,,,0,,,,,,,,,,14,2.7,2,0.018,combined,-0.016,-0.018,0.6,0.026,126,closed_trades 0 < min_closed_trades 1
"13, 0.7, 0.63, 0.019, combined, -0.014, -0.015, 0.7, 0.028",COMPLETED,-1.0509,-72.81,-7.28%,91.54,9.02%,2,0.00%,0.000,-36.40,-3.64%,17.50,-1.051,-0.062,94.27%,+18.99,13,0.7,0.63,0.019,combined,-0.014,-0.015,0.7,0.028,127,
"15, 0.5, 0.45, 0.019, ladder, -0.015, -0.017, 0.6, 0.025",COMPLETED,0.2346,-332.92,-33.29%,"1,153.58",73.42%,172,55.23%,0.937,-1.94,-0.19%,52.21,0.235,0.206,45.66%,-7.02,15,0.5,0.45,0.019,ladder,-0.015,-0.017,0.6,0.025,128,
"16, 0.6, 0.54, 0.02, combined, -0.016, -0.018, 0.7, 0.023",COMPLETED,2.2874,"+4,407.92",+440.79%,"1,233.48",44.83%,243,40.33%,1.593,+18.14,+1.81%,19.09,2.287,1.589,23.77%,+467.07,16,0.6,0.54,0.02,combined,-0.016,-0.018,0.7,0.023,129,
"16, 0.5, 0.45, 0.018, combined, -0.017, -0.018, 0.5, 0.026",COMPLETED,2.8453,"+8,683.73",+868.37%,"1,814.47",43.57%,349,36.10%,1.596,+24.88,+2.49%,17.14,2.845,2.221,30.64%,+894.65,16,0.5,0.45,0.018,combined,-0.017,-0.018,0.5,0.026,130,
"16, 0.7, 0.63, 0.018, combined, -0.017, -0.018, 0.5, 0.017",COMPLETED,1.4998,"+1,365.36",+136.54%,819.10,39.77%,176,41.48%,1.384,+7.76,+0.78%,20.86,1.500,0.865,18.74%,+162.81,16,0.7,0.63,0.018,combined,-0.017,-0.018,0.5,0.017,131,
"15, 0.5, 0.45, 0.019, combined, -0.016, -0.017, 0.6, 0.026",COMPLETED,2.7949,"+8,678.38",+867.84%,"2,072.93",35.07%,351,35.61%,1.540,+24.72,+2.47%,17.11,2.795,2.201,30.77%,+894.11,15,0.5,0.45,0.019,combined,-0.016,-0.017,0.6,0.026,132,
"14, 0.5, 0.45, 0.018, combined, -0.017, -0.018, 0.6, 0.026",COMPLETED,2.6055,"+6,980.11",+698.01%,"1,876.25",42.29%,355,35.21%,1.519,+19.66,+1.97%,17.08,2.605,2.053,31.05%,+724.28,14,0.5,0.45,0.018,combined,-0.017,-0.018,0.6,0.026,133,
"15, 0.6, 0.54, 0.02, combined, -0.017, -0.02, 0.5, 0.027",COMPLETED,2.0765,"+3,607.20",+360.72%,"1,178.29",41.82%,253,39.13%,1.413,+14.26,+1.43%,19.02,2.076,1.447,24.64%,+386.99,15,0.6,0.54,0.02,combined,-0.017,-0.02,0.5,0.027,134,
"17, 0.6, 0.54, 0.019, combined, -0.016, -0.017, 0.6, 0.026",COMPLETED,2.4459,"+4,599.15",+459.91%,"1,226.03",38.91%,239,38.08%,1.596,+19.24,+1.92%,18.87,2.446,1.658,23.10%,+486.19,17,0.6,0.54,0.019,combined,-0.016,-0.017,0.6,0.026,135,
"16, 0.5, 0.45, 0.018, combined, -0.017, -0.019, 0.6, 0.028",COMPLETED,2.8774,"+8,981.49",+898.15%,"1,870.26",43.57%,349,35.82%,1.598,+25.73,+2.57%,17.14,2.877,2.245,30.64%,+924.42,16,0.5,0.45,0.018,combined,-0.017,-0.019,0.6,0.028,136,
"16, 0.5, 0.45, 0.017, combined, -0.017, -0.018, 0.7, 0.028",COMPLETED,2.8747,"+7,991.38",+799.14%,"1,592.42",41.68%,349,34.96%,1.606,+22.90,+2.29%,17.14,2.875,2.243,30.64%,+825.41,16,0.5,0.45,0.017,combined,-0.017,-0.018,0.7,0.028,137,
"16, 0.6, 0.54, 0.017, combined, -0.017, -0.018, 0.7, 0.028",COMPLETED,2.2111,"+3,174.45",+317.45%,814.72,39.37%,243,40.33%,1.589,+13.06,+1.31%,19.09,2.211,1.531,23.77%,+343.72,16,0.6,0.54,0.017,combined,-0.017,-0.018,0.7,0.028,138,
"16, 0.7, 0.63, 0.018, time_only, -0.018, -0.019, 0.7, 0.029",COMPLETED,0.1585,-231.00,-23.10%,583.26,57.05%,109,55.05%,0.907,-2.12,-0.21%,45.69,0.159,0.106,25.51%,+3.17,16,0.7,0.63,0.018,time_only,-0.018,-0.019,0.7,0.029,139,
"17, 0.5, 0.2, 0.017, combined, -0.017, -0.019, 0.7, 0.029",COMPLETED,3.0494,"+9,275.05",+927.50%,"1,889.68",37.79%,344,36.34%,1.698,+26.96,+2.70%,16.98,3.049,2.357,29.92%,+953.78,17,0.5,0.2,0.017,combined,-0.017,-0.019,0.7,0.029,140,
"17, 0.6, 0.24, 0.016, combined, -0.018, -0.02, 0.7, 0.03",COMPLETED,2.4825,"+3,736.15",+373.62%,878.81,32.84%,238,38.66%,1.640,+15.70,+1.57%,18.96,2.482,1.669,23.12%,+399.89,17,0.6,0.24,0.016,combined,-0.018,-0.02,0.7,0.03,141,
"16, 0.5, 0.15, 0.017, combined, -0.017, -0.018, 0.7, 0.029",COMPLETED,2.7901,"+7,295.85",+729.59%,"1,469.24",41.68%,349,34.96%,1.599,+20.91,+2.09%,17.14,2.790,2.174,30.64%,+755.86,16,0.5,0.15,0.017,combined,-0.017,-0.018,0.7,0.029,142,
"16, 0.5, 0.15, 0.017, combined, -0.017, -0.018, 0.7, 0.029",COMPLETED,2.7901,"+7,295.85",+729.59%,"1,469.24",41.68%,349,34.96%,1.599,+20.91,+2.09%,17.14,2.790,2.174,30.64%,+755.86,16,0.5,0.15,0.017,combined,-0.017,-0.018,0.7,0.029,143,
"17, 0.6, 0.18, 0.016, combined, -0.017, -0.018, 0.7, 0.03",COMPLETED,2.3693,"+3,236.26",+323.63%,786.05,33.47%,239,38.08%,1.601,+13.54,+1.35%,18.87,2.369,1.601,23.10%,+349.90,17,0.6,0.18,0.016,combined,-0.017,-0.018,0.7,0.03,144,
"16, 0.5, 0.1, 0.017, combined, -0.018, -0.019, 0.7, 0.028",COMPLETED,2.8747,"+7,991.38",+799.14%,"1,592.42",41.68%,349,34.96%,1.606,+22.90,+2.29%,17.14,2.875,2.243,30.64%,+825.41,16,0.5,0.1,0.017,combined,-0.018,-0.019,0.7,0.028,145,
"17, 0.6, 0.12, 0.017, combined, -0.018, -0.02, 0.7, 0.028",COMPLETED,2.4881,"+4,143.39",+414.34%,"1,011.89",34.56%,238,39.92%,1.635,+17.41,+1.74%,18.96,2.488,1.673,23.12%,+440.61,17,0.6,0.12,0.017,combined,-0.018,-0.02,0.7,0.028,146,
"16, 0.5, 0.1, 0.018, combined, -0.018, -0.019, 0.7, 0.027",COMPLETED,2.8453,"+8,683.73",+868.37%,"1,814.47",43.57%,349,36.10%,1.596,+24.88,+2.49%,17.14,2.845,2.221,30.64%,+894.65,16,0.5,0.1,0.018,combined,-0.018,-0.019,0.7,0.027,147,
"17, 0.5, 0.1, 0.018, combined, -0.018, -0.02, 0.8, 0.028",COMPLETED,3.1332,"+11,468.40","+1,146.84%","2,403.39",39.57%,344,34.88%,1.696,+33.34,+3.33%,16.98,3.133,2.425,29.92%,"+1,173.11",17,0.5,0.1,0.018,combined,-0.018,-0.02,0.8,0.028,148,
"17, 2.2, 0.22, 0.018, combined, -0.018, -0.022, 0.8, 0.028",COMPLETED,-0.8192,-101.34,-10.13%,179.16,17.14%,3,33.33%,0.300,-33.78,-3.38%,21.33,-0.819,-0.045,0.33%,+16.14,17,2.2,0.22,0.018,combined,-0.018,-0.022,0.8,0.028,149,
"16, 0.6, 0.12, 0.016, combined, -0.018, -0.023, 0.8, 0.027",COMPLETED,2.3792,"+3,559.91",+355.99%,839.48,37.46%,242,40.91%,1.645,+14.71,+1.47%,19.19,2.379,1.642,23.78%,+382.26,16,0.6,0.12,0.016,combined,-0.018,-0.023,0.8,0.027,150,
