PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"28, 0.5, 0.45, 0.013, time_only, -0.02, -0.03, 0.8, 0.021",COMPLETED,1.3852,"+9,490.48",+949.05%,"6,431.56",55.59%,470,53.19%,1.219,+20.19,+2.02%,50.63,1.385,1.200,41.50%,+936.84,28,0.5,0.45,0.013,time_only,-0.02,-0.03,0.8,0.021,11,
"28, 0.5, 0.45, 0.013, time_only, -0.02, -0.03, 0.9, 0.021",COMPLETED,1.3852,"+9,490.48",+949.05%,"6,431.56",55.59%,470,53.19%,1.219,+20.19,+2.02%,50.63,1.385,1.200,41.50%,+936.84,28,0.5,0.45,0.013,time_only,-0.02,-0.03,0.9,0.021,12,
"30, 1.4, 1.26, 0.013, time_only, -0.02, -0.03, 0.9, 0.021",COMPLETED,0.1637,+23.99,+2.40%,361.74,29.63%,58,53.45%,1.018,+0.41,+0.04%,38.78,0.164,0.043,3.92%,-9.81,30,1.4,1.26,0.013,time_only,-0.02,-0.03,0.9,0.021,13,
"30, 0.5, 0.25, 0.015, time_only, -0.002, -0.017, 0.7, 0.03",COMPLETED,1.3135,"+9,284.08",+928.41%,"5,145.26",68.01%,466,53.00%,1.204,+19.92,+1.99%,50.65,1.314,1.128,41.16%,+916.20,30,0.5,0.25,0.015,time_only,-0.002,-0.017,0.7,0.03,14,
"25, 1.4, 1.26, 0.011, time_only, -0.02, -0.026, 0.9, 0.021",COMPLETED,0.0421,-51.72,-5.17%,344.77,26.66%,65,41.54%,0.958,-0.80,-0.08%,37.37,0.042,0.011,4.24%,-17.38,25,1.4,1.26,0.011,time_only,-0.02,-0.026,0.9,0.021,15,
"26, 0.9, 0.54, 0.014, time_only, -0.016, -0.03, 0.7, 0.019",COMPLETED,0.5912,+659.55,+65.95%,989.11,56.98%,203,52.71%,1.136,+3.25,+0.32%,40.35,0.591,0.301,14.29%,+53.75,26,0.9,0.54,0.014,time_only,-0.016,-0.03,0.7,0.019,16,
"25, 1.4, 1.12, 0.011, combined, -0.015, -0.03, 0.7, 0.024",COMPLETED,0.2279,+78.79,+7.88%,336.87,23.80%,75,40.00%,1.064,+1.05,+0.11%,27.67,0.228,0.059,3.62%,-4.33,25,1.4,1.12,0.011,combined,-0.015,-0.03,0.7,0.024,17,
"27, 0.7, 0.49, 0.008, ladder, -0.018, -0.026, 0.8, 0.016",COMPLETED,0.8764,+523.16,+52.32%,319.50,17.34%,90,53.33%,1.516,+5.81,+0.58%,41.53,0.876,0.291,76.00%,+40.11,27,0.7,0.49,0.008,ladder,-0.018,-0.026,0.8,0.016,18,
"23, 1.2, 0.6, 0.012, vwap, -0.02, -0.03, 0.8, 0.029",COMPLETED,0.7583,+717.24,+71.72%,657.70,27.69%,122,45.08%,1.313,+5.88,+0.59%,25.55,0.758,0.250,5.44%,+59.52,23,1.2,0.6,0.012,vwap,-0.02,-0.03,0.8,0.029,19,
"28, 1.7, 1.53, 0.015, time_only, -0.013, -0.027, 0.9, 0.022",COMPLETED,0.6358,+434.08,+43.41%,351.49,26.43%,33,48.48%,1.684,+13.15,+1.32%,39.42,0.636,0.128,2.27%,+31.20,28,1.7,1.53,0.015,time_only,-0.013,-0.027,0.9,0.022,20,
