PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,0.4390,+134.18,+13.42%,148.06,13.60%,21,57.14%,1.582,+6.39,+0.64%,38.95,0.439,0.074,1.43%,+1.21,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,0.2692,+104.33,+10.43%,269.84,25.97%,20,45.00%,1.347,+5.22,+0.52%,22.40,0.269,0.031,55.49%,-1.77,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.0669,-291.39,-29.14%,705.74,60.07%,228,52.19%,0.908,-1.28,-0.13%,40.38,-0.067,-0.034,16.05%,-41.34,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.1746,-221.49,-22.15%,538.98,42.98%,177,46.33%,0.900,-1.25,-0.13%,38.15,-0.175,-0.076,11.75%,-34.35,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,0.8155,"+1,323.28",+132.33%,453.87,45.22%,71,50.70%,1.868,+18.64,+1.86%,25.01,0.816,0.200,3.10%,+120.12,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.2132,-50.59,-5.06%,106.49,10.62%,2,0.00%,0.000,-25.29,-2.53%,11.50,-0.213,-0.007,0.04%,-17.26,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,-0.3970,-238.46,-23.85%,294.82,29.48%,16,37.50%,0.492,-14.90,-1.49%,34.19,-0.397,-0.055,0.95%,-36.05,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,-0.2340,-51.42,-5.14%,125.99,12.60%,17,41.18%,0.621,-3.02,-0.30%,31.59,-0.234,-0.030,0.94%,-17.35,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,-0.6029,-106.34,-10.63%,145.58,14.03%,4,0.00%,0.000,-26.59,-2.66%,32.00,-0.603,-0.048,92.26%,-22.84,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,0.8440,"+1,789.84",+178.98%,"3,832.34",70.03%,504,52.38%,1.061,+3.55,+0.36%,52.11,0.844,0.728,45.80%,+166.78,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
