entry_time,exit_time,side,quantity,entry_price,exit_price,gross_pnl,commission,net_pnl,entry_order_id,exit_order_id,exit_comment,is_partial_exit,parent_entry_order_id,entry_bar_idx,exit_bar_idx,bars_held
2022-01-11 09:55:00,2022-01-11 10:35:00,long,10.370645,83.89,83.95,0.6222387000000236,0.0,0.6222387000000236,entry_long_2022-01-11 09:50:00,exit_VWAPExitRule_2022-01-11 10:35:00,VWAP Cross Down,False,,473,481,8
2022-01-11 10:50:00,2022-01-11 10:50:00,long,18.464532,83.84,83.84,0.0,0.0,0.0,entry_long_2022-01-11 10:45:00,exit_VWAPExitRule_2022-01-11 10:50:00,VWAP Cross Down,False,,484,484,0
2022-01-11 11:00:00,2022-01-11 15:40:00,long,21.778025,83.92,85.92,43.55605,0.0,43.55605,entry_long_2022-01-11 10:55:00,exit_TimeExitRule_2022-01-11 15:40:00,Time threshold reached,False,,486,542,56
2022-01-12 13:15:00,2022-01-12 15:40:00,short,26.382461,83.79,83.825,-0.92338613499991,0.0,-0.92338613499991,entry_short_2022-01-12 13:10:00,exit_TimeExitRule_2022-01-12 15:40:00,Time threshold reached,False,,591,620,29
2022-01-13 12:25:00,2022-01-13 15:40:00,short,25.367483,82.56,82.52,1.0146993200001586,0.0,1.0146993200001586,entry_short_2022-01-13 12:20:00,exit_TimeExitRule_2022-01-13 15:40:00,Time threshold reached,False,,659,698,39
2022-01-14 09:55:00,2022-01-14 10:35:00,long,11.946538,84.21,83.82,-4.659149820000007,0.0,-4.659149820000007,entry_long_2022-01-14 09:50:00,exit_VWAPExitRule_2022-01-14 10:35:00,VWAP Cross Down,False,,707,715,8
2022-01-14 11:40:00,2022-01-14 12:45:00,long,72.877958,84.16,83.97,-13.846812019999836,0.0,-13.846812019999836,entry_long_2022-01-14 11:35:00,exit_VWAPExitRule_2022-01-14 12:45:00,VWAP Cross Down,False,,728,741,13
2022-01-14 14:00:00,2022-01-14 15:40:00,long,57.881556,84.069,84.87,46.363126356000116,0.0,46.363126356000116,entry_long_2022-01-14 13:55:00,exit_TimeExitRule_2022-01-14 15:40:00,Time threshold reached,False,,756,776,20
2022-01-18 13:20:00,2022-01-18 15:40:00,short,46.488031,80.9,80.69,9.76248651000037,0.0,9.76248651000037,entry_short_2022-01-18 13:15:00,exit_TimeExitRule_2022-01-18 15:40:00,Time threshold reached,False,,826,854,28
2022-01-20 14:45:00,2022-01-20 15:40:00,short,28.637337,79.49,78.51,28.064590259999704,0.0,28.064590259999704,entry_short_2022-01-20 14:40:00,exit_TimeExitRule_2022-01-20 15:40:00,Time threshold reached,False,,999,1010,11
