PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,0.3370,+92.32,+9.23%,125.95,12.45%,18,55.56%,1.504,+5.13,+0.51%,38.67,0.337,0.050,1.21%,+6.72,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,-0.5329,-123.34,-12.33%,125.06,12.51%,4,0.00%,0.000,-30.83,-3.08%,17.25,-0.533,-0.022,88.82%,-14.84,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.2792,-428.16,-42.82%,802.70,60.70%,218,46.79%,0.861,-1.96,-0.20%,44.77,-0.279,-0.152,16.98%,-45.32,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,0.4526,+108.32,+10.83%,144.22,12.65%,17,52.94%,1.644,+6.37,+0.64%,36.18,0.453,0.060,83.57%,+8.32,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,-0.1676,-445.10,-44.51%,"1,552.10",73.66%,63,44.44%,0.818,-7.07,-0.71%,24.33,-0.168,-0.039,2.67%,-47.02,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.2130,-50.59,-5.06%,106.49,10.62%,2,0.00%,0.000,-25.29,-2.53%,11.50,-0.213,-0.007,0.04%,-7.57,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,-0.4116,-239.99,-24.00%,278.54,27.85%,14,35.71%,0.326,-17.14,-1.71%,31.93,-0.412,-0.052,0.78%,-26.51,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,-0.2567,-54.81,-5.48%,106.86,10.47%,16,50.00%,0.633,-3.43,-0.34%,35.62,-0.257,-0.036,0.99%,-7.99,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,-0.2419,-244.94,-24.49%,386.80,36.40%,25,56.00%,0.580,-9.80,-0.98%,34.16,-0.242,-0.041,1.44%,-27.00,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,-0.5902,-935.57,-93.56%,"2,531.38",97.76%,510,46.67%,0.921,-1.83,-0.18%,53.69,-0.590,-0.519,47.62%,-96.06,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
"28, 1.4, 0.56, 0.005, ladder, -0.014, -0.019, 0.8, 0.021",COMPLETED,0.6719,+125.54,+12.55%,55.74,4.74%,23,60.87%,2.224,+5.46,+0.55%,38.65,0.672,0.112,64.14%,+10.05,28,1.4,0.56,0.005,ladder,-0.014,-0.019,0.8,0.021,11,
