iteration,status,skip_reason,score,param_volatility_multiplier_enter,param_stoploss_ladder_step0,param_volatility_multiplier_exit,param_stoploss_ladder_step1,param_lookback_days,param_target_daily_volatility,param_exit_mode,param_stoploss_ladder_ratio0,param_takeprofit_ladder_step0,closed_trades,symbol,strategy,initial_capital,final_equity,open_pnl,total_pnl,total_pnl_pct,total_net_pnl,return_pct,winning_trades,losing_trades,breakeven_trades,win_rate_pct,gross_profit,gross_loss,profit_factor,commission_paid,average_trade,average_winning_trade,average_losing_trade,average_win_loss_ratio,average_bars_held,average_winning_bars_held,average_losing_bars_held,best_trade,worst_trade,max_drawdown,max_drawdown_pct,max_drawdown_period_bars,max_drawdown_period_days,buy_hold_pnl,buy_hold_return_pct,return_vs_buy_hold_pct_points,strategy_outperformance_pnl,cagr_pct,required_account_size,return_on_required_account_pct,net_profit_to_max_drawdown_pct,max_position_value,average_position_value,capital_efficiency_pct,exposure_bars,exposure_pct,bars,start,end,long_closed_trades,long_net_pnl,long_gross_profit,long_gross_loss,long_profit_factor,long_win_rate_pct,short_closed_trades,short_net_pnl,short_gross_profit,short_gross_loss,short_profit_factor,short_win_rate_pct,max_trade_runup,max_trade_runup_pct,max_trade_drawdown,max_trade_drawdown_pct,average_trade_runup,average_trade_drawdown,sharpe_ratio,sortino_ratio
1,COMPLETED,,-0.10041372755357389,2.0,-0.008,1.2,-0.028,20,0.01,time_only,0.5,0.012,17,NVO,noise_boundary_intraday,1000.0,958.3092687000012,0.0,-41.69073129999879,-4.169073129999879,-41.690731299998795,-4.169073129999879,5,11,1,29.411764705882355,218.3280494000018,-260.01878070000055,0.8396626151858627,0.0,-2.4523959588234585,43.66560988000036,-23.638070972727323,1.847257753408898,35.76470588235294,37.0,32.45454545454545,68.05476245000105,-52.80211200000026,-223.5190234749988,-21.503981104964087,47944,892.1917990767668,1425.2923343438717,142.52923343438718,-146.69830656438705,-1466.9830656438705,-1.4113597478944584,1223.519023474999,-3.4074444696078476,-18.651983465139832,15707.728458,4693.092104862048,-0.2654154062535093,608,1.0339608523374657,58803,2019-01-02 09:30:00,2021-12-31 15:55:00,11,-89.6436583999998,79.4514278500006,-169.0950862500004,0.46986242836491887,18.181818181818183,6,47.95292710000103,138.8766215500012,-90.92369445000017,1.5273974775229884,50.0,,,,,,,-0.10041372755357389,-0.014510392468569536
2,COMPLETED,,0.290383917797638,2.4000000000000004,-0.009000000000000001,1.9200000000000004,-0.013000000000000001,6,0.018000000000000002,combined,0.8,0.01,3,NVO,noise_boundary_intraday,1000.0,1047.0841801900046,5.522693413695378e-13,47.084180190004645,4.708418019000464,47.08418019000425,4.708418019000464,1,2,0,33.33333333333333,95.41585664000432,-48.331676450000074,1.9741888477366105,0.0,15.694726730001415,95.41585664000432,-24.165838225000037,3.948377695473221,3.6666666666666665,1.0,5.0,95.41585664000432,-33.642636450000104,-48.568596450000086,-4.433804399999807,47944,892.1917990767668,1425.2923343438717,142.52923343438718,-137.8208154153867,-1378.208154153867,1.547575102446186,1048.56859645,4.490329039932277,96.9436706668598,18206.910863309997,0.6997866531469642,0.2586060894321553,47945,81.53495569953914,58803,2019-01-02 09:30:00,2021-12-31 15:55:00,3,47.08418019000425,95.41585664000432,-48.331676450000074,1.9741888477366105,33.33333333333333,0,0.0,0.0,0.0,,,,,,,,,0.290383917797638,0.024610892405041246
3,COMPLETED,,-0.08820246089604775,0.9,-0.017,0.63,-0.028,16,0.009000000000000001,time_only,0.5,0.025,201,NVO,noise_boundary_intraday,1000.0,760.9175120220175,0.0,-239.0824879779825,-23.90824879779825,-239.0824879779825,-23.90824879779825,92,102,7,45.77114427860697,2266.105917262007,-2505.188405239989,0.904565066851697,0.0,-1.189465114318321,24.63158605719573,-24.560670639607736,1.0028873567268815,46.57213930348259,45.67391304347826,48.19607843137255,165.91408195000162,-181.748796,-811.0289966559942,-62.872994590250556,53020,986.651284562201,1425.2923343438717,142.52923343438718,-166.43748223218543,-1664.3748223218543,-8.716503411539534,1811.0289966559942,-13.201472114441046,-29.47890753151353,26661.6295636,4943.863739914458,-0.8967287142282997,9361,15.919255820281277,58803,2019-01-02 09:30:00,2021-12-31 15:55:00,103,169.63327639000852,1138.0929831650062,-968.4597067749978,1.1751578049177624,50.48543689320388,98,-408.715764367991,1128.012934097001,-1536.7286984649922,0.7340351847556116,40.816326530612244,,,,,,,-0.08820246089604775,-0.045865712542371775
4,COMPLETED,,0.07815303117801845,1.0,-0.011,0.4,-0.012,20,0.007,ladder,0.30000000000000004,0.007,15,NVO,noise_boundary_intraday,1000.0,1008.7216193839994,-1.1374012842679803e-12,8.721619383999382,0.8721619383999383,8.72161938400049,0.8721619383999383,6,8,1,40.0,142.21558351399764,-133.49396412999715,1.065333436165753,0.0,0.5814412922666994,23.70259725233294,-16.686745516249644,1.4204445815543372,35.53333333333333,26.5,46.75,81.4184216999991,-47.6423698499999,-85.11338535900177,-7.781190489419321,53053,987.2653828720945,1425.2923343438717,142.52923343438718,-141.65707149598725,-1416.5707149598725,0.29027286426310805,1085.1133853590018,0.8037518937354089,10.247059668950266,18611.739305200004,60.2624735293598,0.0468608507833748,53470,90.93073482645443,58803,2019-01-02 09:30:00,2021-12-31 15:55:00,6,-21.979037331001066,9.86062519899924,-31.83966253000031,0.30969628493104334,50.0,9,30.70065671500155,132.3549583149984,-101.65430159999686,1.3020104042011589,33.33333333333333,,,,,,,0.07815303117801845,0.01142695027855439
5,COMPLETED,,0.17626446176443036,2.2,-0.012,1.7600000000000002,-0.022000000000000002,5,0.019,vwap,0.5,0.009000000000000001,41,NVO,noise_boundary_intraday,1000.0,937.9047471630224,0.0,-62.09525283697758,-6.209525283697758,-62.09525283697759,-6.209525283697758,23,16,2,56.09756097560976,1468.8012230430165,-1530.8964758799943,0.9594386336272124,0.0,-1.5145183618775022,63.86092274100072,-95.68102974249965,0.6674355712189304,30.097560975609756,36.08695652173913,25.25,196.0803184499995,-457.91350499999254,-711.6421462249866,-49.599660794129385,47944,892.1917990767668,1425.2923343438717,142.52923343438718,-148.73875871808494,-1487.3875871808493,-2.1170603295720403,1711.6421462249866,-3.6278174718896805,-8.725628908626513,75457.6040025,23124.370626056658,-0.08229157771153231,1234,2.0985323878033433,58803,2019-01-02 09:30:00,2021-12-31 15:55:00,19,296.0730783330141,754.3365406330159,-458.2634623000019,1.646076117103113,52.63157894736842,22,-358.1683311699917,714.4646824100006,-1072.6330135799922,0.666084926871141,59.09090909090909,,,,,,,0.17626446176443036,0.03389535594685475
6,COMPLETED,,0.33148462741287066,3.0,-0.006,0.29999999999999993,-0.024,20,0.019,combined,0.4,0.012,5,NVO,noise_boundary_intraday,1000.0,1063.0377452249998,0.0,63.03774522499975,6.303774522499975,63.037745224999796,6.303774522499975,2,3,0,40.0,93.27000769999958,-30.232262474999793,3.0851150414934407,0.0,12.60754904499996,46.63500384999979,-10.077420824999932,4.627672562240161,29.0,26.5,30.666666666666668,67.59800319999977,-13.557084749999657,-86.45450600000095,-8.200102161877439,41657,775.1967665222107,1425.2923343438717,142.52923343438718,-136.22545891188722,-1362.254589118872,2.0614072384826265,1086.454506000001,5.802152310738329,72.91435477637118,5712.61882,3760.064601181207,1.1034824344362573,145,0.2465860585344285,58803,2019-01-02 09:30:00,2021-12-31 15:55:00,4,-4.5602579749999705,25.672004499999822,-30.232262474999793,0.8491592225765101,25.0,1,67.59800319999977,67.59800319999977,0.0,,100.0,,,,,,,0.33148462741287066,0.023555903966350808
7,COMPLETED,,0.29134760424016926,2.6,-0.014,1.8199999999999998,-0.025,8,0.017,vwap,0.1,0.026000000000000002,11,NVO,noise_boundary_intraday,1000.0,1083.026483420003,0.0,83.02648342000293,8.302648342000293,83.02648342000293,8.302648342000293,5,6,0,45.45454545454545,282.0948613950011,-199.0683779749982,1.4170751993088049,0.0,7.547862129091175,56.418972279000215,-33.17806299583304,1.7004902391705656,32.72727272727273,42.6,24.5,133.3216129199994,-76.930646875,-248.98510372500118,-19.3875033561115,16408,305.33712329491885,1425.2923343438717,142.52923343438718,-134.2265850923869,-1342.2658509238688,2.6980040739274846,1248.9851037250012,6.64751590490414,33.34596414719812,53399.100608875,9761.937953860846,0.15548292475585967,360,0.6122136625682363,58803,2019-01-02 09:30:00,2021-12-31 15:55:00,6,-141.13716579999863,28.556686275000178,-169.6938520749988,0.1682835643472759,16.666666666666664,5,224.16364922000153,253.53817512000094,-29.37452589999942,8.631226116912613,80.0,,,,,,,0.29134760424016926,0.035216908216146287
8,COMPLETED,,-0.013372666421965612,2.3,-0.006999999999999999,0.6899999999999998,-0.009,14,0.006,time_only,0.30000000000000004,0.013000000000000001,12,NVO,noise_boundary_intraday,1000.0,994.903853834002,0.0,-5.096146165997993,-0.5096146165997993,-5.096146165997954,-0.5096146165997993,5,6,1,41.66666666666667,89.37973823500066,-94.47588440099862,0.946058761997214,0.0,-0.4246788471664962,17.87594764700013,-15.74598073349977,1.1352705143966568,38.333333333333336,34.2,37.166666666666664,43.23151435999981,-42.122206900000236,-72.53148814399935,-7.141280098854229,27141,505.0679463278517,1425.2923343438717,142.52923343438718,-143.03884805098699,-1430.3884805098696,-0.17039127902286344,1072.5314881439995,-0.4751511934457796,-7.026115548436554,8943.2636845,2745.1568003974216,-0.05698306955692618,460,0.7822730132816353,58803,2019-01-02 09:30:00,2021-12-31 15:55:00,7,-59.35544234999941,21.532620474999923,-80.88806282499932,0.2662026969490613,28.57142857142857,5,54.25929618400144,67.84711776000074,-13.5878215759993,4.9932299582032895,60.0,,,,,,,-0.013372666421965612,-0.0016208873360240219
9,COMPLETED,,-0.024701954280908704,2.3,-0.008,0.45999999999999985,-0.018000000000000002,8,0.016,ladder,0.5,0.016,20,NVO,noise_boundary_intraday,1000.0,951.6267088290027,0.0,-48.37329117099728,-4.837329117099728,-48.37329117099723,-4.837329117099728,9,11,0,45.0,355.8287040999958,-404.2019952709931,0.8803239673803046,0.0,-2.418664558549861,39.536522677777306,-36.745635933726646,1.075951515687039,29.65,31.555555555555557,28.09090909090909,119.43516269999945,-101.64996827500103,-231.13182282099467,-23.11318228209947,54603,1016.1093943973947,1425.2923343438717,142.52923343438718,-147.3665625514869,-1473.6656255148691,-1.6413674471978723,1231.1318228209948,-3.9291723497290105,-20.9288753840102,45085.04766375,8361.338862683115,-0.10729342360192531,592,1.0067513562233221,58803,2019-01-02 09:30:00,2021-12-31 15:55:00,9,-126.11019449999779,57.20344504999852,-183.31363954999634,0.3120523120397544,33.33333333333333,11,77.73690332900054,298.6252590499973,-220.88835572099674,1.3519284802282188,54.54545454545454,,,,,,,-0.024701954280908704,-0.0035100282951055954
10,COMPLETED,,0.13280583766264986,0.5,-0.018000000000000002,0.45,-0.03,13,0.013000000000000001,time_only,0.30000000000000004,0.007,471,NVO,noise_boundary_intraday,1000.0,525.703914761998,0.0,-474.296085238002,-47.4296085238002,-474.2960852380026,-47.4296085238002,214,251,6,45.43524416135881,5921.726666325996,-6396.022751564,0.9258451535179381,0.0,-1.006998057830154,27.671619936102786,-25.482162356828685,1.0859211847336563,54.5796178343949,56.58878504672897,53.14342629482072,204.8306325,-308.335659625,-743.1187360059887,-69.8055080613923,35776,665.757004083314,1425.2923343438717,142.52923343438718,-189.95884195818738,-1899.5884195818737,-19.31596425980611,1743.1187360059887,-27.20962579547263,-63.82507427913651,43336.227560499996,5561.33737762143,-1.0944563288898568,25707,43.71715728789348,58803,2019-01-02 09:30:00,2021-12-31 15:55:00,245,6.564543284994997,3185.0700807639905,-3178.5055374789954,1.0020652923858682,48.57142857142857,226,-480.86062852299756,2736.6565855620065,-3217.5172140850045,0.8505491667867441,42.0353982300885,,,,,,,0.13280583766264986,0.1148061674451836
