PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,-0.4080,-104.77,-10.48%,147.66,14.39%,9,22.22%,0.383,-11.64,-1.16%,50.22,-0.408,-0.041,0.77%,-52.73,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,-0.5142,-303.59,-30.36%,378.92,35.86%,32,31.25%,0.541,-9.49,-0.95%,15.69,-0.514,-0.062,0.86%,-72.62,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.3859,-428.27,-42.83%,581.56,51.69%,157,43.95%,0.747,-2.73,-0.27%,43.57,-0.386,-0.177,11.67%,-85.08,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.1932,-36.92,-3.69%,77.18,7.50%,11,36.36%,0.538,-3.36,-0.34%,30.36,-0.193,-0.019,90.35%,-45.95,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,0.1798,+43.89,+4.39%,381.37,27.60%,60,25.00%,1.055,+0.73,+0.07%,12.55,0.180,0.031,1.28%,-37.87,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.1439,-16.17,-1.62%,64.76,6.48%,2,0.00%,0.000,-8.08,-0.81%,27.00,-0.144,-0.006,0.09%,-43.87,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,-0.0087,-28.02,-2.80%,248.23,21.22%,14,28.57%,0.890,-2.00,-0.20%,18.79,-0.009,-0.001,0.45%,-45.06,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,-0.5236,-54.64,-5.46%,87.64,8.58%,7,14.29%,0.283,-7.81,-0.78%,47.29,-0.524,-0.048,0.56%,-47.72,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,-0.1880,-109.52,-10.95%,289.29,24.92%,13,30.77%,0.628,-8.42,-0.84%,38.38,-0.188,-0.023,0.85%,-53.21,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,0.1220,-461.94,-46.19%,828.23,82.78%,418,49.52%,0.883,-1.11,-0.11%,51.59,0.122,0.097,36.79%,-88.45,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
"28, 1.7, 0.85, 0.014, vwap, -0.014, -0.02, 0.8, 0.021",COMPLETED,-0.0738,-65.08,-6.51%,167.49,15.50%,29,27.59%,0.765,-2.24,-0.22%,19.41,-0.074,-0.009,0.96%,-48.77,28,1.7,0.85,0.014,vwap,-0.014,-0.02,0.8,0.021,11,
"12, 0.5, 0.45, 0.013, vwap, -0.002, -0.017, 0.1, 0.005",COMPLETED,2.4487,"+101,301.69","+10,130.17%","9,476.81",36.25%,930,39.35%,2.692,+108.93,+10.89%,17.18,2.449,1.855,27.26%,"+10,087.91",12,0.5,0.45,0.013,vwap,-0.002,-0.017,0.1,0.005,12,
