run,status,best_sharpe,best_trades,best_net_pnl,best_dd_pct,best_return_pct,best_bh_return_pct,best_exposure_pct,best_lookback,best_mult_enter,best_mult_exit,best_exit_mode,best_freq,rec_sharpe,rec_trades,rec_net_pnl,rec_dd_pct,rec_lookback,rec_mult_enter,rec_mult_exit,rec_exit_mode,rec_freq
20260524T122111Z,FINISHED_CONVERGED,0.850909970606261,1,20.536024979999624,0.0,2.0536024979999636,57.79024816061853,0.005225851813845657,35,1.7000000000000002,0.5099999999999999,combined,46,0.8191010148617293,2,19.1437520999999,0.0,36,1.0,0.19999999999999996,time_only,48
20260524T123132Z,FINISHED_CONVERGED,0.7021106015064841,1,15.25904901500024,0.0,1.5259049015000188,57.849301397205586,0.007579920789827746,16,0.5,0.14999999999999997,vwap,32,0.6405059919053447,1,8.084048660000017,0.0,54,0.9,0.45,vwap,32
20260524T123732Z,FINISHED_CONVERGED,0.7696750174257653,3,5.136384540000013,-0.001444879160728844,0.5136384539999994,57.849301397205586,0.011363474950639905,48,4.3999999999999995,0.8799999999999997,ladder,26,0.5712286601499618,1,18.90535652999972,-0.3500991950002117,41,0.8,0.32000000000000006,combined,25
20260524T124303Z,FINISHED_CONVERGED,0.6733977114574101,1,20.002339395000256,0.0,2.0002339395000264,57.71157920977189,0.011139578923916676,28,0.2,0.1,vwap,8,0.5674652002716369,1,31.84044772999988,0.0,50,0.8,0.6400000000000001,vwap,32
20260524T124745Z,FINISHED_CONVERGED,0.5845289332831073,2,35.72679488999986,0.0,3.5726794889999836,57.849301397205586,0.01418399478028992,36,1.2000000000000002,0.24,ladder,12,0.5080672714098438,5,119.14114918599982,0.0,28,7.3,1.4599999999999997,ladder,3
20260524T125056Z,FINISHED_CONVERGED,0.6574165090316997,5,25.051197435000162,0.0,2.5051197435000176,57.67227414330217,0.03021278432388105,37,2.9000000000000004,2.0300000000000002,ladder,18,0.5083950132828321,2,33.45008729000004,0.0,52,0.30000000000000004,0.2700000000000001,ladder,1
20260524T125505Z,FINISHED_CONVERGED,0.6907018448124745,4,25.27696017999996,-0.003633708903853051,2.527696018000006,57.67227414330217,0.04276931301790965,39,4.3,0.8599999999999998,vwap,12,0.628513289979599,3,34.391356840000256,-0.05314655299980586,54,4.6,2.76,vwap,4
20260524T125810Z,FINISHED_CONVERGED,0.5333518196868198,7,21.69377439999998,-0.03425439606826266,2.1693774399999937,57.67227414330217,0.0509268690160929,23,0.7000000000000001,0.42000000000000004,combined,8,0.4639404845734983,3,3.314010684999982,0.0,26,0.1,0.1,combined,12
20260524T130117Z,FINISHED_CONVERGED,0.6156100391592129,315,1.656871056354703e-12,-5.684341886080798e-14,1.7053025658242404e-13,57.67227414330217,0.0,14,0.1,0.1,vwap,4,0.6156100391592129,315,1.656871056354703e-12,-5.684341886080801e-13,14,0.1,0.1,vwap,4
20260524T130955Z,FINISHED_CONVERGED,0.8155730122395333,2,54.7342774349999,-0.005207519635028406,5.473427743499997,57.809927662758774,0.0008425948551158146,35,6.8,2.72,combined,55,0.7009073611775647,1,63.231850422000036,0.0,41,8.1,3.24,vwap,33
