PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,-0.1267,-49.92,-4.99%,178.30,16.57%,15,53.33%,0.704,-3.33,-0.33%,33.80,-0.127,-0.015,0.90%,-194.80,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,1.0470,"+1,168.86",+116.89%,528.89,22.89%,22,59.09%,2.486,+53.13,+5.31%,27.09,1.047,0.151,12.71%,-72.92,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,0.4362,+292.08,+29.21%,473.22,35.68%,172,52.33%,1.125,+1.70,+0.17%,41.36,0.436,0.214,12.67%,-160.59,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,0.8457,+565.27,+56.53%,342.60,21.79%,132,51.52%,1.381,+4.28,+0.43%,38.55,0.846,0.349,9.03%,-133.28,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,0.9729,"+1,543.12",+154.31%,"1,032.60",36.03%,57,40.35%,2.004,+27.07,+2.71%,19.70,0.973,0.193,2.00%,-35.49,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.6245,-39.04,-3.90%,50.94,5.03%,2,50.00%,0.047,-19.52,-1.95%,11.00,-0.625,-0.029,80.57%,-193.71,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,0.1619,+35.59,+3.56%,470.98,40.04%,18,50.00%,1.071,+1.98,+0.20%,24.50,0.162,0.019,0.79%,-186.24,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,0.0008,-3.88,-0.39%,98.86,9.31%,7,57.14%,0.923,-0.55,-0.06%,42.00,0.001,0.000,0.52%,-190.19,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,0.5156,+296.23,+29.62%,314.67,26.27%,21,52.38%,1.459,+14.11,+1.41%,36.29,0.516,0.077,1.33%,-160.18,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,0.3351,-232.62,-23.26%,"4,048.49",92.74%,441,50.57%,0.988,-0.53,-0.05%,48.03,0.335,0.266,37.72%,-213.06,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
"28, 1.7, 0.85, 0.014, combined, -0.004, -0.009, 0.9, 0.021",COMPLETED,-0.1110,-14.80,-1.48%,55.93,5.52%,2,0.00%,0.000,-7.40,-0.74%,16.00,-0.111,-0.010,91.51%,-191.28,28,1.7,0.85,0.014,combined,-0.004,-0.009,0.9,0.021,11,
"5, 1.6, 1.44, 0.02, vwap, -0.012, -0.018, 0.8, 0.005",COMPLETED,0.5622,+500.50,+50.05%,"1,693.74",67.97%,138,37.68%,1.102,+3.63,+0.36%,19.08,0.562,0.157,4.69%,-139.75,5,1.6,1.44,0.02,vwap,-0.012,-0.018,0.8,0.005,12,
