entry_time,exit_time,side,quantity,entry_price,exit_price,gross_pnl,commission,net_pnl,entry_order_id,exit_order_id,exit_comment,is_partial_exit,parent_entry_order_id,entry_bar_idx,exit_bar_idx,bars_held
2022-01-31 11:05:00,2022-01-31 15:15:00,long,113.579659,82.808,82.68,-14.538196352000014,0.0,-14.538196352000014,entry_long_2022-01-31 11:00:00,exit_VWAPExitRule_2022-01-31 15:15:00,VWAP Cross Down,False,,1501,1550,49
2022-01-31 15:35:00,2022-01-31 15:40:00,long,135.151024,83.08099999999999,82.97,-15.001763663998648,0.0,-15.001763663998648,entry_long_2022-01-31 15:30:00,exit_TimeExitRule_2022-01-31 15:40:00,Time threshold reached,False,,1554,1555,1
2022-02-01 10:05:00,2022-02-01 11:25:00,short,37.677905,80.18,80.44,-9.796255299999657,0.0,-9.796255299999657,entry_short_2022-02-01 10:00:00,exit_VWAPExitRule_2022-02-01 11:25:00,VWAP Cross Up,False,,1566,1582,16
2022-02-08 11:05:00,2022-02-08 15:40:00,long,130.604088,78.0,78.735,95.99400467999992,0.0,95.99400467999992,entry_long_2022-02-08 11:00:00,exit_TimeExitRule_2022-02-08 15:40:00,Time threshold reached,False,,1968,2023,55
2022-02-10 10:05:00,2022-02-10 13:15:00,long,103.090134,81.35,81.45,10.309013400000879,0.0,10.309013400000879,entry_long_2022-02-10 10:00:00,exit_VWAPExitRule_2022-02-10 13:15:00,VWAP Cross Down,False,,2112,2150,38
2022-02-10 13:25:00,2022-02-10 13:25:00,long,105.721443,81.19,81.19,0.0,0.0,0.0,entry_long_2022-02-10 13:20:00,exit_VWAPExitRule_2022-02-10 13:25:00,VWAP Cross Down,False,,2152,2152,0
2022-02-11 13:40:00,2022-02-11 15:40:00,short,168.342954,79.11,78.1,170.02638354000086,0.0,170.02638354000086,entry_short_2022-02-11 13:35:00,exit_TimeExitRule_2022-02-11 15:40:00,Time threshold reached,False,,2233,2257,24
2022-02-14 12:30:00,2022-02-14 13:55:00,long,162.813578,78.96,78.34,-100.94441835999844,0.0,-100.94441835999844,entry_long_2022-02-14 12:25:00,exit_VWAPExitRule_2022-02-14 13:55:00,VWAP Cross Down,False,,2296,2313,17
2022-02-14 15:35:00,2022-02-14 15:40:00,long,149.064984,78.82,78.8,-2.981299679999407,0.0,-2.981299679999407,entry_long_2022-02-14 15:30:00,exit_TimeExitRule_2022-02-14 15:40:00,Time threshold reached,False,,2333,2334,1
2022-02-17 09:50:00,2022-02-17 09:55:00,short,15.75377,75.24,75.28,-0.6301508000000985,0.0,-0.6301508000000985,entry_short_2022-02-17 09:45:00,exit_VWAPExitRule_2022-02-17 09:55:00,VWAP Cross Up,False,,2496,2497,1
2022-02-17 10:10:00,2022-02-17 12:20:00,short,15.776329,75.23,74.65,9.150270819999973,0.0,9.150270819999973,entry_short_2022-02-17 10:05:00,exit_VWAPExitRule_2022-02-17 12:20:00,VWAP Cross Up,False,,2500,2526,26
2022-02-17 12:30:00,2022-02-17 12:30:00,short,102.02387,74.87,74.87,-0.0,0.0,-0.0,entry_short_2022-02-17 12:25:00,exit_VWAPExitRule_2022-02-17 12:30:00,VWAP Cross Up,False,,2528,2528,0
2022-02-17 12:40:00,2022-02-17 12:40:00,short,117.645511,74.93,74.93,-0.0,0.0,-0.0,entry_short_2022-02-17 12:35:00,exit_VWAPExitRule_2022-02-17 12:40:00,VWAP Cross Up,False,,2530,2530,0
2022-02-17 12:50:00,2022-02-17 12:50:00,short,117.426281,74.99,74.99,-0.0,0.0,-0.0,entry_short_2022-02-17 12:45:00,exit_VWAPExitRule_2022-02-17 12:50:00,VWAP Cross Up,False,,2532,2532,0
2022-02-17 13:00:00,2022-02-17 13:00:00,short,162.739063,75.28,75.28,-0.0,0.0,-0.0,entry_short_2022-02-17 12:55:00,exit_VWAPExitRule_2022-02-17 13:00:00,VWAP Cross Up,False,,2534,2534,0
2022-02-17 13:10:00,2022-02-17 13:10:00,short,202.416598,75.31,75.31,-0.0,0.0,-0.0,entry_short_2022-02-17 13:05:00,exit_VWAPExitRule_2022-02-17 13:10:00,VWAP Cross Up,False,,2536,2536,0
2022-02-17 13:20:00,2022-02-17 13:20:00,short,181.844206,75.1,75.1,-0.0,0.0,-0.0,entry_short_2022-02-17 13:15:00,exit_VWAPExitRule_2022-02-17 13:20:00,VWAP Cross Up,False,,2538,2538,0
